BIB,competition,country,link,mark,name,position
,maratonafem2008,ROU,https://www.worldathletics.org/athletes/romania/constantina-dita-14295567,2:26:44,Constantina DITA,1
,maratonafem2008,KEN,https://www.worldathletics.org/athletes/kenya/catherine-ndereba-14289341,2:27:06,Catherine NDEREBA,2
,maratonafem2008,CHN,https://www.worldathletics.org/athletes/pr-of-china/chunxiu-zhou-14264260,2:27:07,Chunxiu ZHOU,3
,maratonafem2008,CHN,https://www.worldathletics.org/athletes/pr-of-china/xiaolin-zhu-14264209,2:27:16,Xiaolin ZHU,4
,maratonafem2008,FRA,https://www.worldathletics.org/athletes/kenya/martha-komu-14289188,2:27:23,Martha KOMU MUNYUTU,5
,maratonafem2008,GBR,https://www.worldathletics.org/athletes/great-britain-ni/mara-yamauchi-14276819,2:27:29,Mara YAMAUCHI,6
,maratonafem2008,RUS,https://www.worldathletics.org/athletes/russia/irina-timofeeva-14299554,2:27:31,Irina TIMOFEEVA,7
,maratonafem2008,ROU,https://www.worldathletics.org/athletes/romania/lidia-simon-14295968,2:27:51,Lidia SIMON,8
,maratonafem2008,ALG,https://www.worldathletics.org/athletes/algeria/souad-aït-salem-14272893,2:28:29,Souad AÏT SALEM,9
,maratonafem2008,KEN,https://www.worldathletics.org/athletes/kenya/salina-jebet-kosgei-14289206,2:29:28,Salina Jebet KOSGEI,10
,maratonafem2008,LTU,https://www.worldathletics.org/athletes/lithuania/zivilé-balciünaité-14290186,2:29:33,Zivilé BALCIÜNAITÉ,11
,maratonafem2008,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/kum-ok-kim-14295210,2:30:01,Kum-Ok KIM,12
,maratonafem2008,JPN,https://www.worldathletics.org/athletes/japan/yurika-nakamura-14287339,2:30:19,Yurika NAKAMURA,13
,maratonafem2008,ITA,https://www.worldathletics.org/athletes/italy/anna-incerti-14284533,2:30:55,Anna INCERTI,14
,maratonafem2008,ETH,https://www.worldathletics.org/athletes/ethiopia/dire-tune-14259927,2:31:16,Dire TUNE,15
,maratonafem2008,NZL,https://www.worldathletics.org/athletes/new-zealand/nina-rillstone-14293151,2:31:16,Nina RILLSTONE,16
,maratonafem2008,ITA,https://www.worldathletics.org/athletes/italy/bruna-genovese-14284422,2:31:31,Bruna GENOVESE,17
,maratonafem2008,ROU,https://www.worldathletics.org/athletes/romania/luminita-talpos-14295762,2:31:41,Luminita TALPOS,18
,maratonafem2008,MEX,https://www.worldathletics.org/athletes/mexico/madaí-pérez-14291191,2:31:47,Madaí PÉREZ,19
,maratonafem2008,FRA,https://www.worldathletics.org/athletes/france/christelle-daunay-14257893,2:31:48,Christelle DAUNAY,20
,maratonafem2008,AUS,https://www.worldathletics.org/athletes/australia/benita-willis-14271064,2:32:06,Benita WILLIS,21
,maratonafem2008,RUS,https://www.worldathletics.org/athletes/russia/svetlana-zakharova-14299849,2:32:16,Svetlana ZAKHAROVA,22
,maratonafem2008,GBR,https://www.worldathletics.org/athletes/great-britain-ni/paula-radcliffe-14276130,2:32:38,Paula RADCLIFFE,23
,maratonafem2008,POL,https://www.worldathletics.org/athletes/poland/monika-drybulska-14293585,2:32:39,Monika STEFANOWICZ,24
,maratonafem2008,KOR,https://www.worldathletics.org/athletes/korea/eun-jung-lee-14289779,2:33:07,Eun-jung LEE,25
,maratonafem2008,GBR,https://www.worldathletics.org/athletes/great-britain-ni/liz-yelling-14276822,2:33:12,Liz YELLING,26
