competition,country,link,mark,name,position
maratonafem2016,KEN,https://www.worldathletics.org/athletes/kenya/jemima-jelagat-sumgong-14289014,2:24:04,Jemima Jelagat SUMGONG,1
maratonafem2016,BRN,https://www.worldathletics.org/athletes/bahrain/eunice-jepkirui-kirwa-14289179,2:24:13,Eunice Jepkirui KIRWA,2
maratonafem2016,ETH,https://www.worldathletics.org/athletes/ethiopia/mare-dibaba-14326294,2:24:30,Mare DIBABA,3
maratonafem2016,ETH,https://www.worldathletics.org/athletes/ethiopia/tirfi-tsegaye-14334498,2:24:47,Tirfi TSEGAYE,4
maratonafem2016,BLR,https://www.worldathletics.org/athletes/belarus/volha-mazuronak-14269741,2:24:48,Volha MAZURONAK,5
maratonafem2016,USA,https://www.worldathletics.org/athletes/united-states/shalane-flanagan-14310164,2:25:26,Shalane FLANAGAN,6
maratonafem2016,USA,https://www.worldathletics.org/athletes/united-states/desiree-linden-14308638,2:26:08,Desireé LINDEN,7
maratonafem2016,BRN,https://www.worldathletics.org/athletes/bahrain/rose-chelimo-14436833,2:27:36,Rose CHELIMO,8
maratonafem2016,USA,https://www.worldathletics.org/athletes/united-states/amy-cragg-14312171,2:28:25,Amy CRAGG,9
maratonafem2016,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/hye-song-kim-14598447,2:28:36,Hye-Song KIM,10
maratonafem2016,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/hye-gyong-kim-14484403,2:28:36,Hye-Gyong KIM,11
maratonafem2016,LAT,https://www.worldathletics.org/athletes/latvia/jeļena-prokopčuka-14289965,2:29:32,Jelena PROKOPCUKA,12
maratonafem2016,ITA,https://www.worldathletics.org/athletes/italy/valeria-straneo-14285328,2:29:44,Valeria STRANEO,13
maratonafem2016,JPN,https://www.worldathletics.org/athletes/japan/kayoko-fukushi-14286215,2:29:53,Kayoko FUKUSHI,14
maratonafem2016,PER,https://www.worldathletics.org/athletes/peru/gladys-tejeda-14383678,2:29:55,Gladys TEJEDA,15
maratonafem2016,POR,https://www.worldathletics.org/athletes/portugal/dulce-félix-14294876,2:30:39,Dulce FÉLIX,16
maratonafem2016,LTU,https://www.worldathletics.org/athletes/lithuania/diana-lobacevské-14290306,2:30:48,Diana MACIUSONYTE,17
maratonafem2016,AUS,https://www.worldathletics.org/athletes/australia/milly-clark-14445318,2:30:53,Milly CLARK,18
maratonafem2016,JPN,https://www.worldathletics.org/athletes/japan/tomomi-tanaka-14288139,2:31:12,Tomomi TANAKA,19
maratonafem2016,IRL,https://www.worldathletics.org/athletes/ireland/fionnuala-mccormack-14283143,2:31:22,Fionnuala MCCORMACK,20
maratonafem2016,POL,https://www.worldathletics.org/athletes/poland/iwona-bernardelli-14294028,2:31:41,Iwona BERNARDELLI,21
maratonafem2016,AUS,https://www.worldathletics.org/athletes/australia/jessica-stenson-14336656,2:31:44,Jessica TRENGOVE,22
maratonafem2016,POL,https://www.worldathletics.org/athletes/poland/monika-stefanowicz-14293585,2:32:49,Monika STEFANOWICZ,23
maratonafem2016,CAN,https://www.worldathletics.org/athletes/canada/lanni-marchant-14316001,2:33:08,Lanni MARCHANT,24
maratonafem2016,ITA,https://www.worldathletics.org/athletes/italy/catherine-bertone-14283782,2:33:29,Catherine BERTONE,25
maratonafem2016,CZE,https://www.worldathletics.org/athletes/czech-republic/eva-vrabcová-nyvltová-14941331,2:33:51,Eva VRABCOVÁ NYVLTOVÁ,26
maratonafem2016,MDA,https://www.worldathletics.org/athletes/moldova/lilia-fisikovici-14941192,2:34:05,Lilia FISIKOVICI,27
maratonafem2016,GBR,https://www.worldathletics.org/athletes/great-britain-ni/alyson-dixon-14274898,2:34:11,Alyson DIXON,28
