BIB,country,link,mark,name,position
"(None,)",JPN,https://www.worldathletics.org/athletes/japan/naoko-takahashi-14288024,2:23:14,Naoko TAKAHASHI,1
"(None,)",ROU,https://www.worldathletics.org/athletes/romania/lidia-şimon-14295968,2:23:22,Lidia SIMON,2
"(None,)",KEN,https://www.worldathletics.org/athletes/kenya/joyce-chepchumba-14288877,2:24:45,Joyce CHEPCHUMBA,3
"(None,)",KEN,https://www.worldathletics.org/athletes/kenya/esther-wanjiru-maina-14289528,2:26:17,Esther Wanjiru MAINA,4
"(None,)",RUS,https://www.worldathletics.org/athletes/russia/madina-biktagirova-14297390,2:26:33,Madina BIKTAGIROVA,5
"(None,)",ETH,https://www.worldathletics.org/athletes/ethiopia/elfinesh-alemu-14259940,2:26:54,Elfenesh ALEMU,6
"(None,)",JPN,https://www.worldathletics.org/athletes/japan/eri-yamaguchi-14288392,2:27:03,Eri YAMAGUGHI,7
"(None,)",PRK,https://www.worldathletics.org/athletes/dpr-of-korea/bong-sil-ham-14295163,2:27:07,Bong-Sil HAM,8
"(None,)",ETH,https://www.worldathletics.org/athletes/ethiopia/fatuma-roba-14259747,2:27:38,Fatuma ROBA,9
"(None,)",CHN,https://www.worldathletics.org/athletes/pr-of-china/xiujuan-ren-14265419,2:27:55,Xiujuan REN,10
"(None,)",AUS,https://www.worldathletics.org/athletes/australia/kerryn-mccann-14271694,2:28:37,Kerryn MCCANN,11
"(None,)",ITA,https://www.worldathletics.org/athletes/italy/maura-viceconte-14285443,2:29:26,Maura VICECONTE,12
"(None,)",KEN,https://www.worldathletics.org/athletes/kenya/tegla-loroupe-14289238,2:29:45,Tegla LOROUPE,13
"(None,)",KGZ,https://www.worldathletics.org/athletes/kirghizistan/irina-bogachova-14289544,2:29:55,Irina BOGACHOVA,14
"(None,)",JPN,https://www.worldathletics.org/athletes/japan/ari-ichihashi-14286440,2:30:34,Ari ICHIHASHI,15
"(None,)",MEX,https://www.worldathletics.org/athletes/mexico/adriana-fernández-miranda-14291056,2:30:51,Adriana FERNÁNDEZ,16
"(None,)",HUN,https://www.worldathletics.org/athletes/hungary/judit-földingné-nagy-14281533,2:30:54,Judit FÖLDING-NAGY,17
"(None,)",ITA,https://www.worldathletics.org/athletes/italy/ornella-ferrara-14284323,2:31:32,Ornella FERRARA,18
"(None,)",USA,https://www.worldathletics.org/athletes/united-states/christine-clark-14307680,2:31:35,Christine CLARK,19
"(None,)",PRK,https://www.worldathletics.org/athletes/dpr-of-korea/yong-ok-jong-14295179,2:31:40,Yong-Ok JONG,20
"(None,)",POR,https://www.worldathletics.org/athletes/portugal/manuela-machado-14294959,2:32:29,Maria Manuela MACHADO,21
"(None,)",NED,https://www.worldathletics.org/athletes/netherlands/nadja-wijenberg-14292278,2:32:29,Nadezhda WIJENBERG,22
"(None,)",RUS,https://www.worldathletics.org/athletes/russia/lyubov-morgunova-14298665,2:32:35,Lyubov MORGUNOVA,23
"(None,)",GER,https://www.worldathletics.org/athletes/germany/sonja-oberem-krolik-14279101,2:33:45,Sonja OBEREM,24
"(None,)",ECU,https://www.worldathletics.org/athletes/ecuador/martha-tenorio-14262269,2:33:54,Martha TENORIO,25
"(None,)",GBR,https://www.worldathletics.org/athletes/great-britain-ni/marian-sutton-14276481,2:34:33,Marian SUTTON,26
"(None,)",CHI,https://www.worldathletics.org/athletes/chile/erika-alejandra-de-la-fuente-14269220,2:35:07,Erika Alejandra DE LA FUENTE,27
"(None,)",PRK,https://www.worldathletics.org/athletes/dpr-of-korea/chang-ok-kim-14295145,2:35:32,Chang-Ok KIM,28
"(None,)",ROU,https://www.worldathletics.org/athletes/romania/camelia-alina-tecuţă-gherasim-14295976,2:36:16,Camelia Alina TECUŢĂ-GHERASIM,29
"(None,)",ESP,https://www.worldathletics.org/athletes/spain/ana-isabel-alonso-14262129,2:36:45,Ana Isabel ALONSO,30
"(None,)",USA,https://www.worldathletics.org/athletes/south-africa/colleen-de-reuck-14308773,2:36:48,Colleen DE REUCK,31
"(None,)",PER,https://www.worldathletics.org/athletes/peru/maria-portillo-cruz-14293300,2:36:50,María PORTILLO,32
"(None,)",ESP,https://www.worldathletics.org/athletes/spain/griselda-maria-gonzález-14261402,2:38:28,Griselda GONZÁLEZ,33
"(None,)",KOR,https://www.worldathletics.org/athletes/korea/mi-ja-oh-14289846,2:38:42,Mi-Ja OH,34
"(None,)",AUS,https://www.worldathletics.org/athletes/australia/susan-hobson-14271948,2:38:44,Susan HOBSON,35
"(None,)",ETH,https://www.worldathletics.org/athletes/ethiopia/gadisse-edato-14259867,2:42:29,Gadissie EDATTO,36
"(None,)",TUR,https://www.worldathletics.org/athletes/turkey/serap-aktas-14303194,2:42:40,Serap AKTAS,37
