competition,country,link,mark,name,position
maratonamasc2012,UGA,https://www.worldathletics.org/athletes/uganda/stephen-kiprotich-14229607,2:08:01,Stephen KIPROTICH,1
maratonamasc2012,KEN,https://www.worldathletics.org/athletes/kenya/abel-kirui-14208543,2:08:27,Abel KIRUI,2
maratonamasc2012,KEN,https://www.worldathletics.org/athletes/kenya/wilson-kipsang-kiprotich-14208463,2:09:37,Wilson Kipsang KIPROTICH,3
maratonamasc2012,USA,https://www.worldathletics.org/athletes/united-states/mebrahtom-keflezighi-14242705,2:11:06,Mebrahtom KEFLEZIGHI,4
maratonamasc2012,BRA,https://www.worldathletics.org/athletes/brazil/marilson-gomes-dos-santos-14175572,2:11:10,Marilson DOS SANTOS,5
maratonamasc2012,JPN,https://www.worldathletics.org/athletes/japan/kentaro-nakamoto-14204862,2:11:16,Kentaro NAKAMOTO,6
maratonamasc2012,ZIM,https://www.worldathletics.org/athletes/zimbabwe/cuthbert-nyasango-14256538,2:12:08,Cutbert NYASANGO,7
maratonamasc2012,BRA,https://www.worldathletics.org/athletes/brazil/paulo-roberto-de-almeida-paula-14175971,2:12:17,Paulo Roberto DE ALMEIDA PAULA,8
maratonamasc2012,POL,https://www.worldathletics.org/athletes/poland/henryk-szost-14217693,2:12:28,Henryk SZOST,9
maratonamasc2012,ITA,https://www.worldathletics.org/athletes/italy/ruggero-pertile-14201133,2:12:45,Ruggero PERTILE,10
maratonamasc2012,SUI,https://www.worldathletics.org/athletes/switzerland/viktor-röthlin-14226451,2:12:48,Viktor RÖTHLIN,11
maratonamasc2012,UKR,https://www.worldathletics.org/athletes/ukraine/oleksandr-sitkovskiy-14230610,2:12:56,Oleksandr SITKOVSKIY,12
maratonamasc2012,BRA,https://www.worldathletics.org/athletes/brazil/franck-caldeira-de-almeida-14175974,2:13:35,Franck DE ALMEIDA,13
maratonamasc2012,RUS,https://www.worldathletics.org/athletes/russia/aleksey-reunkov-14223693,2:13:49,Aleksey REUNKOV,14
maratonamasc2012,ZIM,https://www.worldathletics.org/athletes/zimbabwe/wirimanyu-juwawo-14256488,2:14:09,Wirimai JUWAWO,15
maratonamasc2012,AUS,https://www.worldathletics.org/athletes/australia/michael-shelley-14178799,2:14:10,Michael SHELLEY,16
maratonamasc2012,KEN,https://www.worldathletics.org/athletes/kenya/emmanuel-mutai-14209254,2:14:49,Emmanuel Kipchirchir MUTAI,17
maratonamasc2012,MAR,https://www.worldathletics.org/athletes/morocco/rachid-kisri-14212278,2:15:09,Rachid KISRI,18
maratonamasc2012,ERI,https://www.worldathletics.org/athletes/eritrea/yared-asmerom-14167431,2:15:24,Yared ASMEROM,19
maratonamasc2012,CAN,https://www.worldathletics.org/athletes/canada/dylan-wykes-14173269,2:15:26,Dylan WYKES,20
maratonamasc2012,PER,https://www.worldathletics.org/athletes/peru/raúl-pacheco-14216175,2:15:35,Raúl PACHECO,21
maratonamasc2012,CAN,https://www.worldathletics.org/athletes/canada/eric-gillis-14174220,2:16:00,Eric GILLIS,22
maratonamasc2012,RUS,https://www.worldathletics.org/athletes/russia/dmitriy-safronov-14223788,2:16:04,Dmitriy SAFRONOV,23
maratonamasc2012,ESP,https://www.worldathletics.org/athletes/spain/carles-castillejo-14166896,2:16:17,Carles CASTILLEJO,24
maratonamasc2012,MDA,https://www.worldathletics.org/athletes/moldova/iaroslav-mușinschi-14212720,2:16:25,Iaroslav MUSINSCHI,25
maratonamasc2012,ROU,https://www.worldathletics.org/athletes/romania/marius-ionescu-14219367,2:16:28,Marius IONESCU,26
maratonamasc2012,CAN,https://www.worldathletics.org/athletes/canada/reid-coolsaet-14174428,2:16:29,Reid COOLSAET,27
maratonamasc2012,AUS,https://www.worldathletics.org/athletes/australia/martin-dent-14179817,2:16:29,Martin DENT,28
maratonamasc2012,UKR,https://www.worldathletics.org/athletes/ukraine/vitaliy-shafar-14230556,2:16:36,Vitaliy SHAFAR,29
