BIB,country,link,mark,name,position
2776,KEN,https://www.worldathletics.org/athletes/kenya/eliud-kipchoge-14208194,2:08:38,Eliud KIPCHOGE,1
3024,NED,https://www.worldathletics.org/athletes/netherlands/abdi-nageeye-14214214,2:09:58,Abdi NAGEEYE,2
1188,BEL,https://www.worldathletics.org/athletes/belgium/bashir-abdi-14375137,2:10:00,Bashir ABDI,3
2769,KEN,https://www.worldathletics.org/athletes/kenya/lawrence-cherono-14687675,2:10:02,Lawrence CHERONO,4
1799,ESP,https://www.worldathletics.org/athletes/spain/ayad-lamdassem-14166054,2:10:16,Ayad LAMDASSEM,5
2707,JPN,https://www.worldathletics.org/athletes/japan/suguru-osako-14335060,2:10:41,Suguru OSAKO,6
3584,TAN,https://www.worldathletics.org/athletes/tanzania/alphonce-felix-simbu-14487535,2:11:35,Alphonce Felix SIMBU,7
3965,USA,https://www.worldathletics.org/athletes/united-states/galen-rupp-14250207,2:11:41,Galen RUPP,8
2886,MAR,https://www.worldathletics.org/athletes/morocco/othmane-el-goumri-14413330,2:11:58,Othmane EL GOUMRI,9
1199,BEL,https://www.worldathletics.org/athletes/belgium/koen-naert-14329163,2:12:13,Koen NAERT,10
2884,MAR,https://www.worldathletics.org/athletes/morocco/mohamed-reda-el-aaraby-14420179,2:12:22,Mohamed Reda EL AARABY,11
1970,FRA,https://www.worldathletics.org/athletes/france/nicolas-navarro-14624740,2:12:50,Nicolas NAVARRO,12
2370,ISR,https://www.worldathletics.org/athletes/israel/maru-teferi-14526757,2:13:02,Maru TEFERI,13
1749,ERI,https://www.worldathletics.org/athletes/eritrea/goitom-kifle-14366697,2:13:22,Goitom KIFLE,14
1550,COL,https://www.worldathletics.org/athletes/colombia/jeison-alexander-suarez-14523052,2:13:29,Jeison Alexander SUAREZ,15
1731,ART,https://www.worldathletics.org/athletes/athlete-refugee-team/tachlowini-gabriyesos-14737736,2:14:02,Tachlowini GABRIYESOS,16
1939,FRA,https://www.worldathletics.org/athletes/france/morhad-amdouni-14182867,2:14:33,Morhad AMDOUNI,17
2893,MAR,https://www.worldathletics.org/athletes/morocco/hamza-sahli-14212196,2:14:48,Hamza SAHLI,18
1510,CHN,https://www.worldathletics.org/athletes/pr-of-china/shaohui-yang-14523268,2:14:58,Shaohui YANG,19
