BIB,country,link,mark,name,position
"(None,)",ETH,https://www.worldathletics.org/athletes/ethiopia/gezahegne-abera-14181289,2:10:11,Gezahegne ABERA,1
"(None,)",KEN,https://www.worldathletics.org/athletes/kenya/erick-wainaina-14209939,2:10:31,Erick WAINAINA,2
"(None,)",ETH,https://www.worldathletics.org/athletes/ethiopia/tesfaye-tola-14181671,2:11:10,Tesfaye TOLA,3
"(None,)",CAN,https://www.worldathletics.org/athletes/great-britain-ni/jon-brown-14188673,2:11:17,Jon BROWN,4
"(None,)",ITA,https://www.worldathletics.org/athletes/italy/giacomo-leone-14200641,2:12:14,Giacomo LEONE,5
"(None,)",ESP,https://www.worldathletics.org/athletes/spain/martín-fiz-14166540,2:13:06,Martín FIZ,6
"(None,)",MAR,https://www.worldathletics.org/athletes/morocco/abdelkader-el-mouaziz-14212082,2:13:49,Abdelkader EL MOUAZIZ,7
"(None,)",FRA,https://www.worldathletics.org/athletes/france/mohamed-ouaadi-14186868,2:14:04,Mohamed OUAADI,8
"(None,)",ZIM,https://www.worldathletics.org/athletes/zimbabwe/tendai-chimusasa-14256465,2:14:19,Tendai CHIMUSASA,9
"(None,)",AUS,https://www.worldathletics.org/athletes/australia/steve-moneghetti-14179121,2:14:50,Steve MONEGHETTI,10
"(None,)",POR,https://www.worldathletics.org/athletes/portugal/antónio-pinto-14218458,2:15:17,António PINTO,11
"(None,)",RSA,https://www.worldathletics.org/athletes/south-africa/hendrick-ramaala-14221015,2:16:19,Hendrick RAMAALA,12
"(None,)",NED,https://www.worldathletics.org/athletes/netherlands/kamiel-maase-14214167,2:16:24,Kamiel MAASE,13
"(None,)",ECU,https://www.worldathletics.org/athletes/ecuador/silvio-guerra-14167640,2:16:27,Silvio GUERRA,14
"(None,)",RWA,https://www.worldathletics.org/athletes/rwanda/mathias-ntawulikura-14224746,2:16:39,Mathias NTAWULIKURA,15
"(None,)",LES,https://www.worldathletics.org/athletes/lesotho/thabiso-paul-moqhali-14211198,2:16:43,Thabiso Paul MOQHALI,16
"(None,)",ANG,https://www.worldathletics.org/athletes/angola/joão-n'tyamba-14180565,2:16:43,João N'TYAMBA,17
"(None,)",POR,https://www.worldathletics.org/athletes/portugal/domingos-castro-14218095,2:16:52,Domingos CASTRO,18
"(None,)",GBR,https://www.worldathletics.org/athletes/great-britain-ni/keith-cullen-14188958,2:16:59,Keith CULLEN,19
"(None,)",RSA,https://www.worldathletics.org/athletes/south-africa/josia-thugwane-14221285,2:16:59,Josia THUGWANE,20
"(None,)",JPN,https://www.worldathletics.org/athletes/japan/shinji-kawashima-14203832,2:17:21,Shinji KAWASHIMA,21
"(None,)",ETH,https://www.worldathletics.org/athletes/ethiopia/semretu-alemayehu-14181310,2:17:21,Semretu ALEMAYEHU,22
"(None,)",ALG,https://www.worldathletics.org/athletes/algeria/kamel-kohil-14180708,2:17:46,Kamel KOHIL,23
"(None,)",KOR,https://www.worldathletics.org/athletes/korea/bong-ju-lee-14210353,2:17:57,Bong-ju LEE,24
"(None,)",NED,https://www.worldathletics.org/athletes/netherlands/greg-van-hest-14214602,2:18:00,Greg VAN HEST,25
"(None,)",RUS,https://www.worldathletics.org/athletes/russia/pavel-kokin-14222699,2:18:02,Pavel KOKIN,26
"(None,)",MEX,https://www.worldathletics.org/athletes/mexico/andrés-espinosa-14212896,2:18:02,Andrés ESPINOSA,27
"(None,)",AUS,https://www.worldathletics.org/athletes/australia/roderic-de-highden-14179825,2:18:04,Roderic DE HIGHDEN,28
"(None,)",PRK,https://www.worldathletics.org/athletes/dpr-of-korea/jung-won-kim-14218706,2:18:04,Jung-Won KIM,29
"(None,)",PRK,https://www.worldathletics.org/athletes/dpr-of-korea/jong-chol-kim-14218702,2:18:04,Jong-Chol KIM,30
"(None,)",VIN,https://www.worldathletics.org/athletes/saint-vincent/pamenos-ballantyne-14256359,2:19:08,Pamenos BALLANTYNE,31
"(None,)",TTO,https://www.worldathletics.org/athletes/trinidad-and-tobago/ronnie-holassie-14229016,2:19:24,Ronnie HOLASSIE,32
"(None,)",AUT,https://www.worldathletics.org/athletes/austria/michael-buchleitner-14178476,2:19:26,Michael BUCHLEITNER,33
"(None,)",RUS,https://www.worldathletics.org/athletes/russia/dmitriy-kapitonov-14222533,2:19:38,Dmitriy KAPITONOV,34
"(None,)",EST,https://www.worldathletics.org/athletes/estonia/pavel-loskutov-14181061,2:19:41,Pavel LOSKUTOV,35
"(None,)",SUI,https://www.worldathletics.org/athletes/switzerland/viktor-röthlin-14226451,2:20:06,Viktor RÖTHLIN,36
"(None,)",GER,https://www.worldathletics.org/athletes/germany/michael-fietz-14192055,2:20:09,Michael FIETZ,37
"(None,)",TUN,https://www.worldathletics.org/athletes/tunisia/tahar-mansouri-14229252,2:20:33,Tahar MANSOURI,38
"(None,)",CRC,https://www.worldathletics.org/athletes/costa-rica/josé-luis-molina-14169925,2:20:37,José Luis MOLINA,39
"(None,)",VEN,https://www.worldathletics.org/athletes/venezuela/carlos-tarazona-14256249,2:20:39,Carlos TARAZONA,40
"(None,)",JPN,https://www.worldathletics.org/athletes/japan/nobuyuki-sato-14205633,2:20:52,Nobuyuki SATO,41
"(None,)",ESP,https://www.worldathletics.org/athletes/spain/alberto-juzdado-14166073,2:21:18,Alberto JUZDADO,42
"(None,)",RSA,https://www.worldathletics.org/athletes/south-africa/johannes-maremane-14220500,2:21:25,Johannes MAREMANE,43
"(None,)",CAN,https://www.worldathletics.org/athletes/canada/bruce-deacon-14174383,2:21:38,Bruce DEACON,44
"(None,)",KOR,https://www.worldathletics.org/athletes/korea/nam-kyun-chung-14210123,2:22:23,Nam-Kyun CHUNG,45
"(None,)",URU,https://www.worldathletics.org/athletes/uruguay/néstor-garcía-14230865,2:22:30,Néstor GARCÍA,46
"(None,)",EGY,https://www.worldathletics.org/athletes/egypt/ahmed-abdel-el-mangoud-14167568,2:22:47,Ahmed Abdel EL MANGOUD,47
"(None,)",NAM,https://www.worldathletics.org/athletes/namibia/luketz-swartbooi-14213600,2:22:55,Luketz SWARTBOOI,48
"(None,)",AND,https://www.worldathletics.org/athletes/andorra/antoni-bernadó-14180594,2:23:03,Antoni BERNADÓ,49
"(None,)",POR,https://www.worldathletics.org/athletes/portugal/luís-novo-14218400,2:23:04,Luís NOVO,50
