competition,country,link,mark,name,position
maratonafem2004,JPN,https://www.worldathletics.org/athletes/japan/mizuki-noguchi-14287473,2:26:20,Mizuki NOGUCHI,1
maratonafem2004,KEN,https://www.worldathletics.org/athletes/kenya/catherine-ndereba-14289341,2:26:32,Catherine NDEREBA,2
maratonafem2004,USA,https://www.worldathletics.org/athletes/united-states/deena-kastor-14309297,2:27:20,Deena KASTOR,3
maratonafem2004,ETH,https://www.worldathletics.org/athletes/ethiopia/elfinesh-alemu-14259940,2:28:15,Elfenesh ALEMU,4
maratonafem2004,JPN,https://www.worldathletics.org/athletes/japan/reiko-tosa-14288222,2:28:44,Reiko TOSA,5
maratonafem2004,SRB,https://www.worldathletics.org/athletes/serbia-and-montenegro/olivera-jevtić-14300350,2:31:15,Olivera JEVTIC,6
maratonafem2004,JPN,https://www.worldathletics.org/athletes/japan/naoko-sakamoto-14287708,2:31:43,Naoko SAKAMOTO,7
maratonafem2004,RUS,https://www.worldathletics.org/athletes/russia/lyudmila-petrova-14298897,2:31:56,Lyudmila PETROVA,8
maratonafem2004,RUS,https://www.worldathletics.org/athletes/russia/svetlana-zakharova-14299849,2:32:04,Svetlana ZAKHAROVA,9
maratonafem2004,ITA,https://www.worldathletics.org/athletes/italy/bruna-genovese-14284422,2:32:50,Bruna GENOVESE,10
maratonafem2004,KEN,https://www.worldathletics.org/athletes/kenya/alice-chelangat-14288832,2:33:52,Alice Chelangat NGERECHI,11
maratonafem2004,CHN,https://www.worldathletics.org/athletes/pr-of-china/shujing-zhang-14264390,2:34:34,Shujing ZHANG,12
maratonafem2004,USA,https://www.worldathletics.org/athletes/romania/nuţa-olaru-14295806,2:34:45,Nuta OLARU,13
maratonafem2004,LTU,https://www.worldathletics.org/athletes/lithuania/živilé-balčiunaité-14290186,2:35:01,Zivilé BALCIÜNAITÉ,14
maratonafem2004,FRA,https://www.worldathletics.org/athletes/france/corinne-raux-14273652,2:35:54,Corinne RAUX,15
maratonafem2004,ITA,https://www.worldathletics.org/athletes/italy/rosaria-console-14284099,2:35:56,Rosaria CONSOLE,16
maratonafem2004,POL,https://www.worldathletics.org/athletes/poland/małgorzata-sobańska-14294434,2:36:43,Malgorzata SOBANSKA,17
maratonafem2004,GER,https://www.worldathletics.org/athletes/germany/luminita-zaituc-14280384,2:36:45,Luminita ZAITUC,18
maratonafem2004,KOR,https://www.worldathletics.org/athletes/korea/eun-jung-lee-14289779,2:37:23,Eun-jung LEE,19
maratonafem2004,ROU,https://www.worldathletics.org/athletes/romania/constantina-dita-tomescu-14295567,2:37:31,Constantina DITA,20
maratonafem2004,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/yong-ok-jong-14295179,2:37:52,Yong-Ok JONG,21
maratonafem2004,CHN,https://www.worldathletics.org/athletes/pr-of-china/helan-li-14266046,2:37:53,Helan LI,22
maratonafem2004,KOR,https://www.worldathletics.org/athletes/korea/yun-hee-chung-14289636,2:38:57,Yunhee CHUNG,23
maratonafem2004,NOR,https://www.worldathletics.org/athletes/norway/stine-larsen-14292707,2:39:55,Stine LARSEN,24
maratonafem2004,GBR,https://www.worldathletics.org/athletes/great-britain-ni/liz-yelling-14276822,2:40:13,Liz YELLING,25
maratonafem2004,ESP,https://www.worldathletics.org/athletes/spain/maría-abel-14262164,2:40:13,Maribel ABEL,26
maratonafem2004,MAR,https://www.worldathletics.org/athletes/morocco/hafida-izem-14290684,2:40:46,Hafida IZEM,27
maratonafem2004,CZE,https://www.worldathletics.org/athletes/czech-republic/anna-pichrtová-14262824,2:40:58,Anna PICHRTOVÁ,28
maratonafem2004,GBR,https://www.worldathletics.org/athletes/great-britain-ni/tracey-morris-14275840,2:41:00,Tracey MORRIS,29
maratonafem2004,MAR,https://www.worldathletics.org/athletes/morocco/kenza-wahbi-14290786,2:41:36,Kenza WAHBI,30
maratonafem2004,AUS,https://www.worldathletics.org/athletes/australia/kerryn-mccann-14271694,2:41:41,Kerryn MCCANN,31
maratonafem2004,ESP,https://www.worldathletics.org/athletes/spain/beatriz-ros-14260561,2:41:51,Beatriz ROS,32
maratonafem2004,CHN,https://www.worldathletics.org/athletes/pr-of-china/chunxiu-zhou-14264260,2:42:54,Chunxiu ZHOU,33
maratonafem2004,USA,https://www.worldathletics.org/athletes/united-states/jennifer-rhines-14319792,2:43:52,Jennifer RHINES,34
maratonafem2004,KOR,https://www.worldathletics.org/athletes/korea/kyung-hee-choi-14289611,2:44:05,Kyung-hee CHOI,35
maratonafem2004,ECU,https://www.worldathletics.org/athletes/ecuador/sandra-ruales-mosquera-14262275,2:44:28,Sandra RUALES,36
maratonafem2004,ESP,https://www.worldathletics.org/athletes/spain/maría-dolores-pulido-14260696,2:44:33,María Dolores PULIDO,37
maratonafem2004,MEX,https://www.worldathletics.org/athletes/mexico/margarita-tapia-14291267,2:46:14,Margarita TAPIA,38
maratonafem2004,USA,https://www.worldathletics.org/athletes/united-states/colleen-de-reuck-14308773,2:46:30,Colleen DE REUCK,39
maratonafem2004,RUS,https://www.worldathletics.org/athletes/russia/albina-mayorova-14297938,2:47:23,Albina MAYOROVA,40
maratonafem2004,POL,https://www.worldathletics.org/athletes/poland/grażyna-syrek-14294499,2:47:26,Grazyna SYREK,41
maratonafem2004,ISR,https://www.worldathletics.org/athletes/israel/nili-avramski-14283491,2:48:08,Nili ABRAMSKI,42
maratonafem2004,MAD,https://www.worldathletics.org/athletes/madagascar/clarisse-rasoarizay-14290535,2:48:14,Clarisse RASOARIZAY,43
maratonafem2004,EST,https://www.worldathletics.org/athletes/estonia/jane-salumäe-14260018,2:48:47,Jane SALUMÄE,44
maratonafem2004,HUN,https://www.worldathletics.org/athletes/hungary/simona-staicu-14282349,2:48:57,Simona STAICU,45
maratonafem2004,MEX,https://www.worldathletics.org/athletes/mexico/angelica-sánchez-14291256,2:49:04,Angélica SÁNCHEZ,46
maratonafem2004,POR,https://www.worldathletics.org/athletes/portugal/helena-sampaio-14295075,2:49:18,Helena SAMPAIO,47
maratonafem2004,HUN,https://www.worldathletics.org/athletes/hungary/beáta-rakonczai-14282256,2:49:41,Beáta RAKONCZAI,48
maratonafem2004,DEN,https://www.worldathletics.org/athletes/denmark/annemette-jensen-14262512,2:50:01,Annemette JENSEN,49
maratonafem2004,GRE,https://www.worldathletics.org/athletes/greece/georgia-ambatzidou-14280488,2:50:01,Yeoryía ABATZÍDOU,50
maratonafem2004,NZL,https://www.worldathletics.org/athletes/new-zealand/liza-hunter-galvan-14293012,2:50:23,Liza HUNTER-GALVAN,51
maratonafem2004,FRA,https://www.worldathletics.org/athletes/france/hafida-gadi-14257429,2:50:29,Hafida GADI,52
