competition,country,gender,link,mark,name,position,sport
27th Olympic Games,JPN,F,https://www.worldathletics.org/athletes/japan/naoko-takahashi-14288024,2:23:14,Naoko TAKAHASHI,1,"(['Marathon'],)"
27th Olympic Games,ROU,F,https://www.worldathletics.org/athletes/romania/lidia-şimon-14295968,2:23:22,Lidia SIMON,2,"(['Marathon'],)"
27th Olympic Games,KEN,F,https://www.worldathletics.org/athletes/kenya/joyce-chepchumba-14288877,2:24:45,Joyce CHEPCHUMBA,3,"(['Marathon'],)"
27th Olympic Games,KEN,F,https://www.worldathletics.org/athletes/kenya/esther-wanjiru-maina-14289528,2:26:17,Esther Wanjiru MAINA,4,"(['Marathon'],)"
27th Olympic Games,RUS,F,https://www.worldathletics.org/athletes/russia/madina-biktagirova-14297390,2:26:33,Madina BIKTAGIROVA,5,"(['Marathon'],)"
27th Olympic Games,ETH,F,https://www.worldathletics.org/athletes/ethiopia/elfinesh-alemu-14259940,2:26:54,Elfenesh ALEMU,6,"(['Marathon'],)"
27th Olympic Games,JPN,F,https://www.worldathletics.org/athletes/japan/eri-yamaguchi-14288392,2:27:03,Eri YAMAGUGHI,7,"(['Marathon'],)"
27th Olympic Games,PRK,F,https://www.worldathletics.org/athletes/dpr-of-korea/bong-sil-ham-14295163,2:27:07,Bong-Sil HAM,8,"(['Marathon'],)"
27th Olympic Games,ETH,F,https://www.worldathletics.org/athletes/ethiopia/fatuma-roba-14259747,2:27:38,Fatuma ROBA,9,"(['Marathon'],)"
27th Olympic Games,CHN,F,https://www.worldathletics.org/athletes/pr-of-china/xiujuan-ren-14265419,2:27:55,Xiujuan REN,10,"(['Marathon'],)"
27th Olympic Games,AUS,F,https://www.worldathletics.org/athletes/australia/kerryn-mccann-14271694,2:28:37,Kerryn MCCANN,11,"(['Marathon'],)"
27th Olympic Games,ITA,F,https://www.worldathletics.org/athletes/italy/maura-viceconte-14285443,2:29:26,Maura VICECONTE,12,"(['Marathon'],)"
27th Olympic Games,KEN,F,https://www.worldathletics.org/athletes/kenya/tegla-loroupe-14289238,2:29:45,Tegla LOROUPE,13,"(['Marathon'],)"
27th Olympic Games,KGZ,F,https://www.worldathletics.org/athletes/kirghizistan/irina-bogachova-14289544,2:29:55,Irina BOGACHOVA,14,"(['Marathon'],)"
27th Olympic Games,JPN,F,https://www.worldathletics.org/athletes/japan/ari-ichihashi-14286440,2:30:34,Ari ICHIHASHI,15,"(['Marathon'],)"
27th Olympic Games,MEX,F,https://www.worldathletics.org/athletes/mexico/adriana-fernández-miranda-14291056,2:30:51,Adriana FERNÁNDEZ,16,"(['Marathon'],)"
