competition,country,link,mark,name,position,sport
"IAAF World Athletics Championships, DOHA 2019",ETH,https://www.worldathletics.org/athletes/ethiopia/lelisa-desisa-14377814,2:10:40,Lelisa DESISA,1,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ETH,https://www.worldathletics.org/athletes/ethiopia/mosinet-geremew-14413325,2:10:44,Mosinet GEREMEW,2,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",KEN,https://www.worldathletics.org/athletes/kenya/amos-kipruto-14694013,2:10:51,Amos KIPRUTO,3,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",GBR,https://www.worldathletics.org/athletes/great-britain-ni/callum-hawkins-14371841,2:10:57,Callum HAWKINS,4,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",RSA,https://www.worldathletics.org/athletes/south-africa/stephen-mokoka-14220671,2:11:09,Stephen MOKOKA,5,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ERI,https://www.worldathletics.org/athletes/eritrea/zersenay-tadese-14167401,2:11:29,Zersenay TADESE,6,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",BRN,https://www.worldathletics.org/athletes/bahrain/el-hassan-el-abbassi-14389214,2:11:44,El Hassan EL ABBASSI,7,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",MAR,https://www.worldathletics.org/athletes/morocco/hamza-sahli-14212196,2:11:49,Hamza SAHLI,8,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",SUI,https://www.worldathletics.org/athletes/switzerland/tadesse-abraham-14167400,2:11:58,Tadesse ABRAHAM,9,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ESP,https://www.worldathletics.org/athletes/spain/daniel-mateo-14165757,2:12:15,Daniel MATEO,10,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",KEN,https://www.worldathletics.org/athletes/kenya/laban-kipngetich-korir-14328122,2:12:38,Laban Kipngetich KORIR,11,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ITA,https://www.worldathletics.org/athletes/italy/yassine-rachik-14434310,2:12:41,Yassine RACHIK,12,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",UGA,https://www.worldathletics.org/athletes/uganda/fred-musobo-14693554,2:13:42,Fred MUSOBO,13,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",KEN,https://www.worldathletics.org/athletes/kenya/geoffrey-kirui-14424831,2:13:54,Geoffrey KIRUI,14,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ITA,https://www.worldathletics.org/athletes/italy/eyob-ghebrehiwet-faniel-14446830,2:13:57,Eyob GHEBREHIWET FANIEL,15,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",TAN,https://www.worldathletics.org/athletes/tanzania/alphonce-felix-simbu-14487535,2:13:57,Alphonce Felix SIMBU,16,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",NAM,https://www.worldathletics.org/athletes/namibia/tomas-hilifa-rainhold-14792694,2:14:38,Tomas Hilifa RAINHOLD,17,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",UGA,https://www.worldathletics.org/athletes/uganda/stephen-kiprotich-14229607,2:15:04,Stephen KIPROTICH,18,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",BRA,https://www.worldathletics.org/athletes/brazil/paulo-roberto-de-almeida-paula-14175971,2:15:09,Paulo Roberto DE ALMEIDA PAULA,19,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",CHN,https://www.worldathletics.org/athletes/pr-of-china/shaohui-yang-14523268,2:15:17,Shaohui YANG,20,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",IND,https://www.worldathletics.org/athletes/india/thonakal-gopi-14650011,2:15:57,Thonakal GOPI,21,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",RWA,https://www.worldathletics.org/athletes/rwanda/felicien-muhitira-14587641,2:16:21,Felicien MUHITIRA,22,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",USA,https://www.worldathletics.org/athletes/united-states/ahmed-osman-14327379,2:16:22,Ahmed OSMAN,23,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",NOR,https://www.worldathletics.org/athletes/norway/weldu-negash-gebretsadik-14471823,2:16:35,Weldu Negash GEBRETSADIK,24,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",JPN,https://www.worldathletics.org/athletes/japan/hiroki-yamagishi-14516691,2:16:43,Hiroki YAMAGISHI,25,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",EST,https://www.worldathletics.org/athletes/estonia/tiidrek-nurme-14181111,2:17:38,Tiidrek NURME,26,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",NZL,https://www.worldathletics.org/athletes/new-zealand/malcolm-hicks-14373143,2:17:45,Malcolm HICKS,27,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",SWE,https://www.worldathletics.org/athletes/sweden/adhanom-abraha-14167435,2:17:57,Adhanom ABRAHA,28,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",JPN,https://www.worldathletics.org/athletes/japan/yuki-kawauchi-14203841,2:17:59,Yuki KAWAUCHI,29,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",NZL,https://www.worldathletics.org/athletes/new-zealand/caden-shields-14363062,2:18:08,Caden SHIELDS,30,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",DEN,https://www.worldathletics.org/athletes/denmark/thijs-nijhuis-14941421,2:18:10,Thijs NIJHUIS,31,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",RSA,https://www.worldathletics.org/athletes/south-africa/desmond-mokgobu-14362555,2:18:21,Pheeha MOKGOBO,32,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",EST,https://www.worldathletics.org/athletes/estonia/roman-fosti-14164634,2:18:30,Roman FOSTI,33,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ZIM,https://www.worldathletics.org/athletes/zimbabwe/ngonidzashe-ncube-14495457,2:18:42,Ngonidzashe NCUBE,34,"(['Marathon'],)"
