competition,country,gender,link,mark,name,position,sport
"World Athletics Championships, Oregon 2022",ETH,M,https://www.worldathletics.org/athletes/ethiopia/tamirat-tola-14589459,2:05:36,Tamirat TOLA,1,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",ETH,M,https://www.worldathletics.org/athletes/ethiopia/mosinet-geremew-14413325,2:06:44,Mosinet GEREMEW,2,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",BEL,M,https://www.worldathletics.org/athletes/belgium/bashir-abdi-14375137,2:06:48,Bashir ABDI,3,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",CAN,M,https://www.worldathletics.org/athletes/canada/cameron-levins-14326707,2:07:09,Cameron LEVINS,4,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",KEN,M,https://www.worldathletics.org/athletes/kenya/geoffrey-kamworor-14423680,2:07:14,Geoffrey KAMWOROR,5,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",ETH,M,https://www.worldathletics.org/athletes/ethiopia/seifu-tura-14679817,2:07:17,Seifu TURA,6,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",TAN,M,https://www.worldathletics.org/athletes/tanzania/gabriel-gerald-geay-14677692,2:07:31,Gabriel Gerald GEAY,7,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",BRA,M,https://www.worldathletics.org/athletes/brazil/daniel-do-nascimento-14646503,2:07:35,Daniel DO NASCIMENTO,8,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",BRN,M,https://www.worldathletics.org/athletes/bahrain/shumi-dechasa-14378482,2:07:52,Shumi DECHASA,9,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",ZIM,M,https://www.worldathletics.org/athletes/zimbabwe/isaac-mpofu-14654920,2:07:56,Isaac MPOFU,10,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",ISR,M,https://www.worldathletics.org/athletes/israel/maru-teferi-14526757,2:07:59,Maru TEFERI,11,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",MAR,M,https://www.worldathletics.org/athletes/morocco/othmane-el-goumri-14413330,2:08:14,Othmane EL GOUMRI,12,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",JPN,M,https://www.worldathletics.org/athletes/japan/yusuke-nishiyama-14444458,2:08:35,Yusuke NISHIYAMA,13,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",MAR,M,https://www.worldathletics.org/athletes/morocco/hamza-sahli-14212196,2:08:45,Hamza SAHLI,14,"(['Marathon'],)"
