competition,country,gender,link,mark,name,position,sport
IAAF World Championships London 2017,BRN,F,https://www.worldathletics.org/athletes/bahrain/rose-chelimo-14436833,2:27:11,Rose CHELIMO,1,"(['Marathon'],)"
IAAF World Championships London 2017,KEN,F,https://www.worldathletics.org/athletes/kenya/edna-ngeringwony-kiplagat-14289137,2:27:18,Edna Ngeringwony KIPLAGAT,2,"(['Marathon'],)"
IAAF World Championships London 2017,USA,F,https://www.worldathletics.org/athletes/united-states/amy-cragg-14312171,2:27:18,Amy CRAGG,3,"(['Marathon'],)"
IAAF World Championships London 2017,KEN,F,https://www.worldathletics.org/athletes/kenya/flomena-cheyech-daniel-14288983,2:27:21,Flomena Cheyech DANIEL,4,"(['Marathon'],)"
IAAF World Championships London 2017,ETH,F,https://www.worldathletics.org/athletes/ethiopia/shure-demise-14581927,2:27:58,Shure DEMISE,5,"(['Marathon'],)"
IAAF World Championships London 2017,BRN,F,https://www.worldathletics.org/athletes/bahrain/eunice-jepkirui-kirwa-14289179,2:28:17,Eunice Jepkirui KIRWA,6,"(['Marathon'],)"
IAAF World Championships London 2017,KEN,F,https://www.worldathletics.org/athletes/kenya/helah-jelagat-kiprop-14289150,2:28:19,Helah Jelagat KIPROP,7,"(['Marathon'],)"
IAAF World Championships London 2017,ETH,F,https://www.worldathletics.org/athletes/ethiopia/mare-dibaba-14326294,2:28:49,Mare DIBABA,8,"(['Marathon'],)"
IAAF World Championships London 2017,AUS,F,https://www.worldathletics.org/athletes/australia/jessica-trengove-14336656,2:28:59,Jessica TRENGOVE,9,"(['Marathon'],)"
IAAF World Championships London 2017,ETH,F,https://www.worldathletics.org/athletes/ethiopia/berhane-dibaba-14434016,2:29:01,Birhane DIBABA,10,"(['Marathon'],)"
IAAF World Championships London 2017,USA,F,https://www.worldathletics.org/athletes/united-states/serena-burla-14319501,2:29:32,Serena BURLA,11,"(['Marathon'],)"
IAAF World Championships London 2017,ETH,F,https://www.worldathletics.org/athletes/ethiopia/aselefech-mergia-14259925,2:29:43,Aselefech MERGIA,12,"(['Marathon'],)"
IAAF World Championships London 2017,GBR,F,https://www.worldathletics.org/athletes/great-britain-ni/charlotte-purdue-14276123,2:29:48,Charlotte PURDUE,13,"(['Marathon'],)"
IAAF World Championships London 2017,CZE,F,https://www.worldathletics.org/athletes/czech-republic/eva-vrabcová-nývltová-14941331,2:29:56,Eva VRABCOVÁ NYVLTOVÁ,14,"(['Marathon'],)"
IAAF World Championships London 2017,PRK,F,https://www.worldathletics.org/athletes/dpr-of-korea/hye-gyong-kim-14484403,2:30:29,Hye-Gyong KIM,15,"(['Marathon'],)"
IAAF World Championships London 2017,JPN,F,https://www.worldathletics.org/athletes/japan/mao-kiyota-14438397,2:30:36,Mao KIYOTA,16,"(['Marathon'],)"
IAAF World Championships London 2017,JPN,F,https://www.worldathletics.org/athletes/japan/yuka-ando-14419637,2:31:31,Yuka ANDO,17,"(['Marathon'],)"
IAAF World Championships London 2017,GBR,F,https://www.worldathletics.org/athletes/great-britain-ni/alyson-dixon-14274898,2:31:36,Alyson DIXON,18,"(['Marathon'],)"
IAAF World Championships London 2017,NAM,F,https://www.worldathletics.org/athletes/namibia/helalia-johannes-14291432,2:32:01,Helalia JOHANNES,19,"(['Marathon'],)"
IAAF World Championships London 2017,AUS,F,https://www.worldathletics.org/athletes/australia/sinead-diver-14490253,2:33:26,Sinead DIVER,20,"(['Marathon'],)"
IAAF World Championships London 2017,ESP,F,https://www.worldathletics.org/athletes/spain/marta-esteban-14261675,2:33:37,Marta ESTEBAN,21,"(['Marathon'],)"
IAAF World Championships London 2017,GER,F,https://www.worldathletics.org/athletes/germany/fate-tola-14335885,2:33:39,Fate TOLA,22,"(['Marathon'],)"
IAAF World Championships London 2017,POL,F,https://www.worldathletics.org/athletes/poland/izabela-trzaskalska-14294572,2:35:03,Izabela TRZASKALSKA,23,"(['Marathon'],)"
IAAF World Championships London 2017,AUS,F,https://www.worldathletics.org/athletes/australia/milly-clark-14445318,2:35:27,Milly CLARK,24,"(['Marathon'],)"
IAAF World Championships London 2017,FIN,F,https://www.worldathletics.org/athletes/finland/anne-mari-hyryläinen-14378768,2:35:33,Anne-Mari HYRYLÄINEN,25,"(['Marathon'],)"
IAAF World Championships London 2017,PER,F,https://www.worldathletics.org/athletes/peru/inés-melchor-14293292,2:35:34,Inés MELCHOR,26,"(['Marathon'],)"
IAAF World Championships London 2017,JPN,F,https://www.worldathletics.org/athletes/japan/risa-shigetomo-14287827,2:36:03,Risa SHIGETOMO,27,"(['Marathon'],)"
IAAF World Championships London 2017,POR,F,https://www.worldathletics.org/athletes/portugal/filomena-costa-14294838,2:36:42,Filomena COSTA,28,"(['Marathon'],)"
IAAF World Championships London 2017,PRK,F,https://www.worldathletics.org/athletes/dpr-of-korea/un-ok-jo-14367928,2:36:46,Un Ok JO,29,"(['Marathon'],)"
IAAF World Championships London 2017,NAM,F,https://www.worldathletics.org/athletes/namibia/beata-naigambo-14291442,2:37:24,Beata NAIGAMBO,30,"(['Marathon'],)"
IAAF World Championships London 2017,LAT,F,https://www.worldathletics.org/athletes/latvia/ilona-marhele-14290029,2:37:40,Ilona MARHELE,31,"(['Marathon'],)"
IAAF World Championships London 2017,ECU,F,https://www.worldathletics.org/athletes/ecuador/rosa-chacha-14262327,2:37:50,Rosa CHACHA,32,"(['Marathon'],)"
IAAF World Championships London 2017,IRL,F,https://www.worldathletics.org/athletes/ireland/claire-mccarthy-14283226,2:38:26,Claire MCCARTHY,33,"(['Marathon'],)"
IAAF World Championships London 2017,KOR,F,https://www.worldathletics.org/athletes/korea/kyunghee-lim-14289823,2:38:38,Kyunghee LIM,34,"(['Marathon'],)"
IAAF World Championships London 2017,CYP,F,https://www.worldathletics.org/athletes/cyprus/dagmara-handzlik-14293706,2:38:52,Dagmara HANDZLIK,35,"(['Marathon'],)"
IAAF World Championships London 2017,POL,F,https://www.worldathletics.org/athletes/poland/katarzyna-kowalska-14293933,2:39:39,Katarzyna KOWALSKA,36,"(['Marathon'],)"
IAAF World Championships London 2017,USA,F,https://www.worldathletics.org/athletes/united-states/lindsay-flanagan-14334774,2:39:47,Lindsay FLANAGAN,37,"(['Marathon'],)"
IAAF World Championships London 2017,KOR,F,https://www.worldathletics.org/athletes/korea/seongeun-kim-14289756,2:39:52,Seongeun KIM,38,"(['Marathon'],)"
IAAF World Championships London 2017,GER,F,https://www.worldathletics.org/athletes/germany/katharina-heinig-14277958,2:39:59,Katharina HEINIG,39,"(['Marathon'],)"
IAAF World Championships London 2017,RSA,F,https://www.worldathletics.org/athletes/south-africa/mapaseka-makhanya-14296590,2:40:15,Mapaseka MAKHANYA,40,"(['Marathon'],)"
IAAF World Championships London 2017,ISR,F,https://www.worldathletics.org/athletes/israel/chemtai-lonah-salpeter-14523502,2:40:22,Lonah Chemtai SALPETER,41,"(['Marathon'],)"
IAAF World Championships London 2017,KGZ,F,https://www.worldathletics.org/athletes/kirghizistan/viktoriia-poliudina-14289563,2:40:28,Viktoriia POLIUDINA,42,"(['Marathon'],)"
IAAF World Championships London 2017,GBR,F,https://www.worldathletics.org/athletes/great-britain-ni/tracy-barlow-14582612,2:41:03,Tracy BARLOW,43,"(['Marathon'],)"
