competition,country,link,mark,name,position,sport
"World Athletics Championships, Oregon 2022",ETH,https://www.worldathletics.org/athletes/ethiopia/gotytom-gebreslase-14477379,2:18:11,Gotytom GEBRESLASE,1,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",KEN,https://www.worldathletics.org/athletes/kenya/judith-jeptum-korir-14892464,2:18:20,Judith Jeptum KORIR,2,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",ISR,https://www.worldathletics.org/athletes/israel/lonah-chemtai-salpeter-14523502,2:20:18,Lonah Chemtai SALPETER,3,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",ERI,https://www.worldathletics.org/athletes/eritrea/nazret-weldu-14262207,2:20:29,Nazret WELDU,4,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/sara-hall-14305595,2:22:10,Sara HALL,5,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",KEN,https://www.worldathletics.org/athletes/kenya/angela-tanui-14423894,2:22:15,Angela TANUI,6,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/emma-bates-14453636,2:23:18,Emma BATES,7,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/keira-d'amato-14307211,2:23:34,Keira D'AMATO,8,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",JPN,https://www.worldathletics.org/athletes/japan/mizuki-matsuda-14548272,2:23:49,Mizuki MATSUDA,9,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",MEX,https://www.worldathletics.org/athletes/mexico/citlali-moscote-14756134,2:26:33,Citlali MOSCOTE,10,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",CHN,https://www.worldathletics.org/athletes/pr-of-china/deshun-zhang-14693572,2:28:11,Deshun ZHANG,11,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",GBR,https://www.worldathletics.org/athletes/great-britain-ni/jess-piasecki-14274778,2:28:41,Jess PIASECKI,12,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",CAN,https://www.worldathletics.org/athletes/canada/leslie-sexton-14267218,2:28:52,Leslie SEXTON,13,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",AUS,https://www.worldathletics.org/athletes/australia/sarah-klein-14384751,2:30:10,Sarah KLEIN,14,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",BUL,https://www.worldathletics.org/athletes/bulgaria/militsa-mircheva-14468897,2:30:20,Militsa MIRCHEVA,15,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",FIN,https://www.worldathletics.org/athletes/finland/alisa-vainio-14504791,2:30:29,Alisa VAINIO,16,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",CZE,https://www.worldathletics.org/athletes/czech-republic/tereza-hrochová-14463763,2:30:39,Tereza HROCHOVÁ,17,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",MEX,https://www.worldathletics.org/athletes/mexico/risper-gesabwa-14372482,2:30:47,Risper GESABWA,18,"(['Marathon'],)"
"World Athletics Championships, Oregon 2022",BEL,https://www.worldathletics.org/athletes/belgium/mieke-gorissen-14911853,2:31:06,Mieke GORISSEN,19,"(['Marathon'],)"
