competition,country,gender,link,mark,name,position,sport
14th IAAF World Championships,KEN,F,https://www.worldathletics.org/athletes/kenya/edna-ngeringwony-kiplagat-14289137,2:25:44,Edna Ngeringwony KIPLAGAT,1,"(['Marathon'],)"
14th IAAF World Championships,ITA,F,https://www.worldathletics.org/athletes/italy/valeria-straneo-14285328,2:25:58,Valeria STRANEO,2,"(['Marathon'],)"
14th IAAF World Championships,JPN,F,https://www.worldathletics.org/athletes/japan/kayoko-fukushi-14286215,2:27:45,Kayoko FUKUSHI,3,"(['Marathon'],)"
14th IAAF World Championships,JPN,F,https://www.worldathletics.org/athletes/japan/ryoko-kizaki-14286842,2:31:28,Ryoko KIZAKI,4,"(['Marathon'],)"
14th IAAF World Championships,ESP,F,https://www.worldathletics.org/athletes/spain/alessandra-aguilar-14262157,2:32:38,Alessandra AGUILAR,5,"(['Marathon'],)"
14th IAAF World Championships,ITA,F,https://www.worldathletics.org/athletes/italy/emma-quaglia-14285076,2:34:16,Emma QUAGLIA,6,"(['Marathon'],)"
14th IAAF World Championships,MEX,F,https://www.worldathletics.org/athletes/mexico/madaí-pérez-14291191,2:34:23,Madaí PÉREZ,7,"(['Marathon'],)"
14th IAAF World Championships,PRK,F,https://www.worldathletics.org/athletes/dpr-of-korea/hye-gyong-kim-14484403,2:35:49,Hye-Gyong KIM,8,"(['Marathon'],)"
14th IAAF World Championships,USA,F,https://www.worldathletics.org/athletes/united-states/deena-kastor-14309297,2:36:12,Deena KASTOR,9,"(['Marathon'],)"
14th IAAF World Championships,GBR,F,https://www.worldathletics.org/athletes/great-britain-ni/susan-partridge-14276025,2:36:24,Susan PARTRIDGE,10,"(['Marathon'],)"
14th IAAF World Championships,AUS,F,https://www.worldathletics.org/athletes/australia/jessica-stenson-14336656,2:37:11,Jessica TRENGOVE,11,"(['Marathon'],)"
14th IAAF World Championships,LTU,F,https://www.worldathletics.org/athletes/lithuania/diana-lobacevské-14290306,2:37:48,Diana MACIUSONYTE,12,"(['Marathon'],)"
14th IAAF World Championships,ETH,F,https://www.worldathletics.org/athletes/ethiopia/aberu-kebede-14259806,2:38:04,Aberu KEBEDE,13,"(['Marathon'],)"
14th IAAF World Championships,PRK,F,https://www.worldathletics.org/athletes/dpr-of-korea/hye-song-kim-14598447,2:38:28,Hye-Song KIM,14,"(['Marathon'],)"
14th IAAF World Championships,BRN,F,https://www.worldathletics.org/athletes/bahrain/lishan-dula-14413299,2:38:47,Lishan DULA,15,"(['Marathon'],)"
14th IAAF World Championships,GBR,F,https://www.worldathletics.org/athletes/great-britain-ni/sonia-thomas-samuels-14276539,2:39:03,Sonia SAMUELS,16,"(['Marathon'],)"
14th IAAF World Championships,PRK,F,https://www.worldathletics.org/athletes/dpr-of-korea/yong-sun-sin-14520472,2:39:22,Yong-Sun SIN,17,"(['Marathon'],)"
14th IAAF World Championships,USA,F,https://www.worldathletics.org/athletes/united-states/dorothy-mcmahan-14316688,2:39:52,Dorothy MCMAHAN,18,"(['Marathon'],)"
14th IAAF World Championships,CHN,F,https://www.worldathletics.org/athletes/pr-of-china/changqin-ding-14334270,2:40:13,Changqin DING,19,"(['Marathon'],)"
14th IAAF World Championships,LTU,F,https://www.worldathletics.org/athletes/lithuania/živilé-balčiunaité-14290186,2:41:09,Zivilé BALCIÜNAITÉ,20,"(['Marathon'],)"
14th IAAF World Championships,RUS,F,https://www.worldathletics.org/athletes/russia/albina-mayorova-14297938,2:41:19,Albina MAYOROVA,21,"(['Marathon'],)"
14th IAAF World Championships,RUS,F,https://www.worldathletics.org/athletes/russia/nadezhda-leontyeva-14418538,2:42:49,Nadezdha LEONTEVA,22,"(['Marathon'],)"
14th IAAF World Championships,USA,F,https://www.worldathletics.org/athletes/united-states/jeannette-faber-14366172,2:44:03,Jeannette FABER,23,"(['Marathon'],)"
14th IAAF World Championships,KEN,F,https://www.worldathletics.org/athletes/kenya/lucy-kabuu-wangui-14289505,2:44:06,Lucy Wangui KABUU,24,"(['Marathon'],)"
14th IAAF World Championships,NAM,F,https://www.worldathletics.org/athletes/namibia/alina-armas-14572721,2:45:09,Alina ARMAS,25,"(['Marathon'],)"
