competition,country,gender,link,mark,name,position,sport
27th Olympic Games,ETH,M,https://www.worldathletics.org/athletes/ethiopia/gezahegne-abera-14181289,2:10:11,Gezahegne ABERA,1,"(['Marathon'],)"
27th Olympic Games,KEN,M,https://www.worldathletics.org/athletes/kenya/erick-wainaina-14209939,2:10:31,Erick WAINAINA,2,"(['Marathon'],)"
27th Olympic Games,ETH,M,https://www.worldathletics.org/athletes/ethiopia/tesfaye-tola-14181671,2:11:10,Tesfaye TOLA,3,"(['Marathon'],)"
27th Olympic Games,GBR,M,https://www.worldathletics.org/athletes/great-britain-ni/jon-brown-14188673,2:11:17,Jon BROWN,4,"(['Marathon'],)"
27th Olympic Games,ITA,M,https://www.worldathletics.org/athletes/italy/giacomo-leone-14200641,2:12:14,Giacomo LEONE,5,"(['Marathon'],)"
27th Olympic Games,ESP,M,https://www.worldathletics.org/athletes/spain/martín-fiz-14166540,2:13:06,Martín FIZ,6,"(['Marathon'],)"
27th Olympic Games,MAR,M,https://www.worldathletics.org/athletes/morocco/abdelkader-el-mouaziz-14212082,2:13:49,Abdelkader EL MOUAZIZ,7,"(['Marathon'],)"
27th Olympic Games,FRA,M,https://www.worldathletics.org/athletes/france/mohamed-ouaadi-14186868,2:14:04,Mohamed OUAADI,8,"(['Marathon'],)"
27th Olympic Games,ZIM,M,https://www.worldathletics.org/athletes/zimbabwe/tendai-chimusasa-14256465,2:14:19,Tendai CHIMUSASA,9,"(['Marathon'],)"
27th Olympic Games,AUS,M,https://www.worldathletics.org/athletes/australia/steve-moneghetti-14179121,2:14:50,Steve MONEGHETTI,10,"(['Marathon'],)"
27th Olympic Games,POR,M,https://www.worldathletics.org/athletes/portugal/antónio-pinto-14218458,2:15:17,António PINTO,11,"(['Marathon'],)"
27th Olympic Games,RSA,M,https://www.worldathletics.org/athletes/south-africa/hendrick-ramaala-14221015,2:16:19,Hendrick RAMAALA,12,"(['Marathon'],)"
27th Olympic Games,NED,M,https://www.worldathletics.org/athletes/netherlands/kamiel-maase-14214167,2:16:24,Kamiel MAASE,13,"(['Marathon'],)"
27th Olympic Games,ECU,M,https://www.worldathletics.org/athletes/ecuador/silvio-guerra-14167640,2:16:27,Silvio GUERRA,14,"(['Marathon'],)"
27th Olympic Games,RWA,M,https://www.worldathletics.org/athletes/rwanda/mathias-ntawulikura-14224746,2:16:39,Mathias NTAWULIKURA,15,"(['Marathon'],)"
27th Olympic Games,LES,M,https://www.worldathletics.org/athletes/lesotho/thabiso-paul-moqhali-14211198,2:16:43,Thabiso Paul MOQHALI,16,"(['Marathon'],)"
27th Olympic Games,ANG,M,https://www.worldathletics.org/athletes/angola/joão-n'tyamba-14180565,2:16:43,João N'TYAMBA,17,"(['Marathon'],)"
27th Olympic Games,POR,M,https://www.worldathletics.org/athletes/portugal/domingos-castro-14218095,2:16:52,Domingos CASTRO,18,"(['Marathon'],)"
27th Olympic Games,GBR,M,https://www.worldathletics.org/athletes/great-britain-ni/keith-cullen-14188958,2:16:59,Keith CULLEN,19,"(['Marathon'],)"
27th Olympic Games,RSA,M,https://www.worldathletics.org/athletes/south-africa/josia-thugwane-14221285,2:16:59,Josia THUGWANE,20,"(['Marathon'],)"
27th Olympic Games,JPN,M,https://www.worldathletics.org/athletes/japan/shinji-kawashima-14203832,2:17:21,Shinji KAWASHIMA,21,"(['Marathon'],)"
27th Olympic Games,ETH,M,https://www.worldathletics.org/athletes/ethiopia/semretu-alemayehu-14181310,2:17:21,Semretu ALEMAYEHU,22,"(['Marathon'],)"
27th Olympic Games,ALG,M,https://www.worldathletics.org/athletes/algeria/kamel-kohil-14180708,2:17:46,Kamel KOHIL,23,"(['Marathon'],)"
27th Olympic Games,KOR,M,https://www.worldathletics.org/athletes/korea/bong-ju-lee-14210353,2:17:57,Bong-ju LEE,24,"(['Marathon'],)"
27th Olympic Games,NED,M,https://www.worldathletics.org/athletes/netherlands/greg-van-hest-14214602,2:18:00,Greg VAN HEST,25,"(['Marathon'],)"
27th Olympic Games,RUS,M,https://www.worldathletics.org/athletes/russia/pavel-kokin-14222699,2:18:02,Pavel KOKIN,26,"(['Marathon'],)"
27th Olympic Games,MEX,M,https://www.worldathletics.org/athletes/mexico/andrés-espinosa-14212896,2:18:02,Andrés ESPINOSA,27,"(['Marathon'],)"
27th Olympic Games,AUS,M,https://www.worldathletics.org/athletes/australia/roderic-de-highden-14179825,2:18:04,Roderic DE HIGHDEN,28,"(['Marathon'],)"
27th Olympic Games,PRK,M,https://www.worldathletics.org/athletes/dpr-of-korea/jung-won-kim-14218706,2:18:04,Jung-Won KIM,29,"(['Marathon'],)"
27th Olympic Games,PRK,M,https://www.worldathletics.org/athletes/dpr-of-korea/jong-chol-kim-14218702,2:18:04,Jong-Chol KIM,30,"(['Marathon'],)"
27th Olympic Games,VIN,M,https://www.worldathletics.org/athletes/saint-vincent/pamenos-ballantyne-14256359,2:19:08,Pamenos BALLANTYNE,31,"(['Marathon'],)"
27th Olympic Games,TTO,M,https://www.worldathletics.org/athletes/trinidad-and-tobago/ronnie-holassie-14229016,2:19:24,Ronnie HOLASSIE,32,"(['Marathon'],)"
27th Olympic Games,AUT,M,https://www.worldathletics.org/athletes/austria/michael-buchleitner-14178476,2:19:26,Michael BUCHLEITNER,33,"(['Marathon'],)"
27th Olympic Games,RUS,M,https://www.worldathletics.org/athletes/russia/dmitriy-kapitonov-14222533,2:19:38,Dmitriy KAPITONOV,34,"(['Marathon'],)"
27th Olympic Games,EST,M,https://www.worldathletics.org/athletes/estonia/pavel-loskutov-14181061,2:19:41,Pavel LOSKUTOV,35,"(['Marathon'],)"
27th Olympic Games,SUI,M,https://www.worldathletics.org/athletes/switzerland/viktor-röthlin-14226451,2:20:06,Viktor RÖTHLIN,36,"(['Marathon'],)"
27th Olympic Games,GER,M,https://www.worldathletics.org/athletes/germany/michael-fietz-14192055,2:20:09,Michael FIETZ,37,"(['Marathon'],)"
27th Olympic Games,TUN,M,https://www.worldathletics.org/athletes/tunisia/tahar-mansouri-14229252,2:20:33,Tahar MANSOURI,38,"(['Marathon'],)"
27th Olympic Games,CRC,M,https://www.worldathletics.org/athletes/costa-rica/josé-luis-molina-14169925,2:20:37,José Luis MOLINA,39,"(['Marathon'],)"
27th Olympic Games,VEN,M,https://www.worldathletics.org/athletes/venezuela/carlos-tarazona-14256249,2:20:39,Carlos TARAZONA,40,"(['Marathon'],)"
27th Olympic Games,JPN,M,https://www.worldathletics.org/athletes/japan/nobuyuki-sato-14205633,2:20:52,Nobuyuki SATO,41,"(['Marathon'],)"
27th Olympic Games,ESP,M,https://www.worldathletics.org/athletes/spain/alberto-juzdado-14166073,2:21:18,Alberto JUZDADO,42,"(['Marathon'],)"
27th Olympic Games,RSA,M,https://www.worldathletics.org/athletes/south-africa/johannes-maremane-14220500,2:21:25,Johannes MAREMANE,43,"(['Marathon'],)"
27th Olympic Games,CAN,M,https://www.worldathletics.org/athletes/canada/bruce-deacon-14174383,2:21:38,Bruce DEACON,44,"(['Marathon'],)"
27th Olympic Games,KOR,M,https://www.worldathletics.org/athletes/korea/nam-kyun-chung-14210123,2:22:23,Nam-Kyun CHUNG,45,"(['Marathon'],)"
27th Olympic Games,URU,M,https://www.worldathletics.org/athletes/uruguay/néstor-garcía-14230865,2:22:30,Néstor GARCÍA,46,"(['Marathon'],)"
27th Olympic Games,EGY,M,https://www.worldathletics.org/athletes/egypt/ahmed-abdel-el-mangoud-14167568,2:22:47,Ahmed Abdel EL MANGOUD,47,"(['Marathon'],)"
27th Olympic Games,NAM,M,https://www.worldathletics.org/athletes/namibia/luketz-swartbooi-14213600,2:22:55,Luketz SWARTBOOI,48,"(['Marathon'],)"
27th Olympic Games,AND,M,https://www.worldathletics.org/athletes/andorra/antoni-bernadó-14180594,2:23:03,Antoni BERNADÓ,49,"(['Marathon'],)"
27th Olympic Games,POR,M,https://www.worldathletics.org/athletes/portugal/luís-novo-14218400,2:23:04,Luís NOVO,50,"(['Marathon'],)"
27th Olympic Games,SWZ,M,https://www.worldathletics.org/athletes/eswatini/lucky-bhembe-14228221,2:23:38,Lucky BHEMBE,51,"(['Marathon'],)"
27th Olympic Games,MAR,M,https://www.worldathletics.org/athletes/morocco/boubker-el-afoui-14212010,2:23:53,Boubker EL AFOUI,52,"(['Marathon'],)"
27th Olympic Games,ESP,M,https://www.worldathletics.org/athletes/spain/abel-antón-14167234,2:24:04,Abel ANTÓN,53,"(['Marathon'],)"
27th Olympic Games,GER,M,https://www.worldathletics.org/athletes/germany/carsten-eich-14191962,2:24:11,Carsten EICH,54,"(['Marathon'],)"
27th Olympic Games,MDA,M,https://www.worldathletics.org/athletes/moldova/valeriu-vlas-14212739,2:24:35,Valeriu VLAS,55,"(['Marathon'],)"
27th Olympic Games,GBR,M,https://www.worldathletics.org/athletes/great-britain-ni/mark-steinle-14190860,2:24:42,Mark STEINLE,56,"(['Marathon'],)"
27th Olympic Games,UGA,M,https://www.worldathletics.org/athletes/uganda/alex-malinga-14229621,2:24:53,Alex MALINGA,57,"(['Marathon'],)"
