competition,country,link,mark,name,position,sport
The XXXII Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/peres-jepchirchir-14593938,2:27:20,Peres JEPCHIRCHIR,1,"(['Marathon'],)"
The XXXII Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/brigid-kosgei-14730790,2:27:36,Brigid KOSGEI,2,"(['Marathon'],)"
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/molly-seidel-14437057,2:27:46,Molly SEIDEL,3,"(['Marathon'],)"
The XXXII Olympic Games,ETH,https://www.worldathletics.org/athletes/ethiopia/roza-dereje-14732953,2:28:38,Roza DEREJE,4,"(['Marathon'],)"
The XXXII Olympic Games,BLR,https://www.worldathletics.org/athletes/belarus/volha-mazuronak-14269741,2:29:06,Volha MAZURONAK,5,"(['Marathon'],)"
The XXXII Olympic Games,GER,https://www.worldathletics.org/athletes/germany/melat-yisak-kejeta-14466358,2:29:16,Melat Yisak KEJETA,6,"(['Marathon'],)"
The XXXII Olympic Games,BRN,https://www.worldathletics.org/athletes/bahrain/eunice-chebichii-chumba-14423913,2:29:36,Eunice Chebichii CHUMBA,7,"(['Marathon'],)"
The XXXII Olympic Games,JPN,https://www.worldathletics.org/athletes/japan/mao-ichiyama-14695498,2:30:13,Mao ICHIYAMA,8,"(['Marathon'],)"
The XXXII Olympic Games,CAN,https://www.worldathletics.org/athletes/canada/malindi-elmore-14268042,2:30:59,Malindi ELMORE,9,"(['Marathon'],)"
The XXXII Olympic Games,AUS,https://www.worldathletics.org/athletes/australia/sinead-diver-14490253,2:31:14,Sinead DIVER,10,"(['Marathon'],)"
The XXXII Olympic Games,NAM,https://www.worldathletics.org/athletes/namibia/helalia-johannes-14291432,2:31:22,Helalia JOHANNES,11,"(['Marathon'],)"
The XXXII Olympic Games,SUI,https://www.worldathletics.org/athletes/switzerland/fabienne-schlumpf-14940420,2:31:36,Fabienne SCHLUMPF,12,"(['Marathon'],)"
The XXXII Olympic Games,CAN,https://www.worldathletics.org/athletes/canada/natasha-wodak-14266948,2:31:41,Natasha WODAK,13,"(['Marathon'],)"
The XXXII Olympic Games,POL,https://www.worldathletics.org/athletes/poland/karolina-nadolska-14293773,2:32:04,Karolina NADOLSKA,14,"(['Marathon'],)"
The XXXII Olympic Games,RSA,https://www.worldathletics.org/athletes/south-africa/gerda-steyn-14730601,2:32:10,Gerda STEYN,15,"(['Marathon'],)"
The XXXII Olympic Games,UGA,https://www.worldathletics.org/athletes/uganda/immaculate-chemutai-14360508,2:32:23,Immaculate CHEMUTAI,16,"(['Marathon'],)"
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/sally-kipyego-14289173,2:32:53,Sally KIPYEGO,17,"(['Marathon'],)"
The XXXII Olympic Games,GER,https://www.worldathletics.org/athletes/germany/deborah-schöneborn-14587891,2:33:08,Deborah SCHÖNEBORN,18,"(['Marathon'],)"
