competition,country,gender,link,mark,name,position,sport
Berlin Marathon - 16 SEP 2018,KEN,F,,2:18:11,Gladys CHERONO,1,Marathon
Berlin Marathon - 16 SEP 2018,ETH,F,,2:18:34,Ruti AGA,2,Marathon
Berlin Marathon - 16 SEP 2018,ETH,F,,2:18:55,Tirunesh DIBABA,3,Marathon
Berlin Marathon - 16 SEP 2018,KEN,F,,2:21:18,Edna Ngeringwony KIPLAGAT,4,Marathon
Berlin Marathon - 16 SEP 2018,JPN,F,,2:22:23,Mizuki MATSUDA,5,Marathon
Berlin Marathon - 16 SEP 2018,ETH,F,,2:22:48,Helen BEKELE,6,Marathon
Berlin Marathon - 16 SEP 2018,JPN,F,,2:25:23,Honami MAEDA,7,Marathon
Berlin Marathon - 16 SEP 2018,POR,F,,2:25:27,Salomé ROCHA,8,Marathon
Berlin Marathon - 16 SEP 2018,JPN,F,,2:25:46,Miyuki UEHARA,9,Marathon
Berlin Marathon - 16 SEP 2018,JPN,F,,2:27:29,Rei OHARA,10,Marathon
Berlin Marathon - 16 SEP 2018,CAN,F,,2:28:53,Rachel CLIFF,11,Marathon
Berlin Marathon - 16 SEP 2018,CAN,F,,2:30:47,Lyndsay TESSIER,12,Marathon
Berlin Marathon - 16 SEP 2018,PER,F,,2:32:09,Inés MELCHOR,13,Marathon
Berlin Marathon - 16 SEP 2018,NED,F,,2:32:41,Andrea DEELTSTRA,14,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:34:56,Dawn GRUNNAGLE,15,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:37:05,Emma SPENCER,16,Marathon
Berlin Marathon - 16 SEP 2018,ESP,F,,2:37:14,Cristina JORDÁN,17,Marathon
Berlin Marathon - 16 SEP 2018,ITA,F,,2:37:35,Teresa MONTRONE,18,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:37:48,Caitlin PHILLIPS,19,Marathon
Berlin Marathon - 16 SEP 2018,CRO,F,,2:38:05,Matea PARLOV KOŠTRO,20,Marathon
Berlin Marathon - 16 SEP 2018,CAN,F,,2:39:37,Arianne RABY,21,Marathon
Berlin Marathon - 16 SEP 2018,CAN,F,,2:40:11,Catherine WATKINS,22,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:40:37,Alex CADICAMO,23,Marathon
Berlin Marathon - 16 SEP 2018,JPN,F,,2:40:50,Tomomi SAWAHATA,24,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,2:41:33,Stephanie DAVIS,25,Marathon
Berlin Marathon - 16 SEP 2018,FRA,F,,2:41:39,Severine HAMEL,26,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:42:15,Amanda NURSE,27,Marathon
Berlin Marathon - 16 SEP 2018,CAN,F,,2:42:57,Rachel HANNAH,28,Marathon
Berlin Marathon - 16 SEP 2018,AUS,F,,2:43:34,Sarah KLEIN,29,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:44:38,Marie ZANDERSON,30,Marathon
Berlin Marathon - 16 SEP 2018,GRE,F,,2:44:43,Stefania LEONTIADOU,31,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:44:44,Jillian POLLACK,32,Marathon
Berlin Marathon - 16 SEP 2018,LAT,F,,2:45:02,Karīna HELMANE,33,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,2:46:55,Hannah OLDROYD,34,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:47:05,Angela MOLL,35,Marathon
Berlin Marathon - 16 SEP 2018,NOR,F,,2:47:50,Hilde ADERS,36,Marathon
Berlin Marathon - 16 SEP 2018,VEN,F,,2:48:53,Arelys RODRIGUEZ,37,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,2:48:53,Anke ESSER,38,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:49:10,Whitney MACON,39,Marathon
Berlin Marathon - 16 SEP 2018,SWE,F,,2:49:28,Camilla ELOFSSON,40,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:49:33,Sarah LOERCH,41,Marathon
Berlin Marathon - 16 SEP 2018,PLE,F,,2:49:36,Mayada AL SAYAD,42,Marathon
Berlin Marathon - 16 SEP 2018,SWE,F,,2:49:46,Jessica GUNNARSSON,43,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,2:50:08,Annika UCKEL,44,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,2:50:28,Kirsten DE BAEY,45,Marathon
Berlin Marathon - 16 SEP 2018,VEN,F,,2:51:26,Maria Grazzia BIANCHI,46,Marathon
Berlin Marathon - 16 SEP 2018,CRC,F,,2:51:33,Diana BOGANTES,47,Marathon
Berlin Marathon - 16 SEP 2018,NED,F,,2:51:39,Hinke SCHOKKER,48,Marathon
Berlin Marathon - 16 SEP 2018,FRA,F,,2:51:53,Cecile KEMPF,49,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,2:52:06,Franziska BOSSOW,50,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,2:53:36,Helen WAUGH,51,Marathon
Berlin Marathon - 16 SEP 2018,DOM,F,,2:53:50,Soranyi RODRIGUEZ,52,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:53:55,Andrea CADAVID,53,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:54:09,Amy TOROTORELLO,54,Marathon
Berlin Marathon - 16 SEP 2018,DEN,F,,2:54:40,Sandra HARTVICH,55,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:54:45,Kim PAWELEK,56,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,2:55:07,Katrin OCHS,57,Marathon
Berlin Marathon - 16 SEP 2018,CZE,F,,2:55:27,Radka HANZLOVÁ,58,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,2:55:30,Lena SCHÖNEBORN,59,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,2:55:47,Andrea BANKS,60,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:55:56,Iris KLEIN,61,Marathon
Berlin Marathon - 16 SEP 2018,AUT,F,,2:56:25,Astrid KALTENBOECK,62,Marathon
Berlin Marathon - 16 SEP 2018,SWE,F,,2:56:29,Annica HERNES,63,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,2:56:34,Alice WHILEY,64,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:56:37,Molly TRACHTENBERG,65,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:56:40,Annie LAPERLE,66,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,2:57:12,Joanna MALE,67,Marathon
Berlin Marathon - 16 SEP 2018,NOR,F,,2:57:28,Kjersti FRESVIK,68,Marathon
Berlin Marathon - 16 SEP 2018,NED,F,,2:57:32,Angelica ESPARZA,69,Marathon
Berlin Marathon - 16 SEP 2018,FRA,F,,2:57:33,Corinne DECRU,70,Marathon
Berlin Marathon - 16 SEP 2018,RSA,F,,2:57:34,Helen IBBOTSON,71,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:58:01,Anne THEISEN,72,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,2:58:15,Sindy KERMER,73,Marathon
Berlin Marathon - 16 SEP 2018,IRL,F,,2:58:27,Sally FORRISTAL,74,Marathon
Berlin Marathon - 16 SEP 2018,SUI,F,,2:58:29,Arlette HUNGER,75,Marathon
Berlin Marathon - 16 SEP 2018,CAN,F,,2:58:42,Marianne PELCHAT,76,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:58:59,Rachel FOX,77,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,2:59:12,Lucy NIEMZ,78,Marathon
Berlin Marathon - 16 SEP 2018,ARG,F,,2:59:19,Dalila DOVICHI,79,Marathon
Berlin Marathon - 16 SEP 2018,DEN,F,,2:59:28,Nanna HANSEN,80,Marathon
Berlin Marathon - 16 SEP 2018,CHN,F,,2:59:31,Hongming YAN,81,Marathon
Berlin Marathon - 16 SEP 2018,SUI,F,,2:59:42,Nina MEIER,82,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,2:59:43,Carla KNAUER,83,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,2:59:48,Amy CRAIN,84,Marathon
Berlin Marathon - 16 SEP 2018,SWE,F,,3:00:08,Elmina SAKSI,85,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,3:00:16,Anna Ricarda GERLACH,86,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,3:00:24,Jill COLLETT,87,Marathon
Berlin Marathon - 16 SEP 2018,AUS,F,,3:00:45,Anna HELOWITZ,88,Marathon
Berlin Marathon - 16 SEP 2018,SUI,F,,3:00:46,Melanie FREI,89,Marathon
Berlin Marathon - 16 SEP 2018,SWE,F,,3:00:46,Jenny RUTSTRÖM,90,Marathon
Berlin Marathon - 16 SEP 2018,CRC,F,,3:00:51,Gabriela HERRA,91,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,3:00:54,Marie BAXTER,92,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,3:00:59,Vicky MCELLIGOTT,93,Marathon
Berlin Marathon - 16 SEP 2018,ARG,F,,3:00:59,Paula Cecilia NARVAEZ,94,Marathon
Berlin Marathon - 16 SEP 2018,FRA,F,,3:01:04,Francoise PARAGE,95,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,3:01:06,Doris MARQUARDT,96,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,3:01:11,Claudia MAIER,97,Marathon
Berlin Marathon - 16 SEP 2018,GBR,F,,3:01:15,Wendy WEBBER,98,Marathon
Berlin Marathon - 16 SEP 2018,USA,F,,3:01:16,Tamara CLAUSE,99,Marathon
Berlin Marathon - 16 SEP 2018,SWE,F,,3:01:16,Mari TROENG,100,Marathon
Berlin Marathon - 16 SEP 2018,SRB,F,,3:01:23,Katarina POHLOD,101,Marathon
Berlin Marathon - 16 SEP 2018,GER,F,,3:01:30,Stephanie PLATT,102,Marathon
