competition,country,gender,link,mark,name,position,sport
Berlin Marathon - 29 SEP 2021,ETH,M,,2:05:45,Guye Idemo ADOLA,1,Marathon
Berlin Marathon - 29 SEP 2021,KEN,M,,2:06:14,Bethwel YEGON,2,Marathon
Berlin Marathon - 29 SEP 2021,ETH,M,,2:06:47,Kenenisa BEKELE,3,Marathon
Berlin Marathon - 29 SEP 2021,ETH,M,,2:08:24,Deme Tadu ABATE,4,Marathon
Berlin Marathon - 29 SEP 2021,KEN,M,,2:08:45,Cosmas Matolo MUTETI,5,Marathon
Berlin Marathon - 29 SEP 2021,KEN,M,,2:09:29,Philemon Kacheran LOKEDI,6,Marathon
Berlin Marathon - 29 SEP 2021,ERI,M,,2:10:37,Okubay TSEGAY,7,Marathon
Berlin Marathon - 29 SEP 2021,KEN,M,,2:10:50,Benard KIMELI,8,Marathon
Berlin Marathon - 29 SEP 2021,JPN,M,,2:11:47,Hidekazu HIJIKATA,9,Marathon
Berlin Marathon - 29 SEP 2021,KEN,M,,2:12:25,Hosea KIPKEMBOI,10,Marathon
Berlin Marathon - 29 SEP 2021,ETH,M,,2:12:35,Gudeta DAMISO,11,Marathon
Berlin Marathon - 29 SEP 2021,ISR,M,,2:13:23,Yimer GETAHUN,12,Marathon
Berlin Marathon - 29 SEP 2021,ERI,M,,2:13:47,Haftom WELDAY,13,Marathon
Berlin Marathon - 29 SEP 2021,JPN,M,,2:14:11,Kazuki MURAMOTO,14,Marathon
Berlin Marathon - 29 SEP 2021,JPN,M,,2:14:18,Taku FUJIMOTO,15,Marathon
Berlin Marathon - 29 SEP 2021,GER,M,,2:15:01,Philipp PFLIEGER,16,Marathon
Berlin Marathon - 29 SEP 2021,ISR,M,,2:16:13,Jember MELKAMU,17,Marathon
Berlin Marathon - 29 SEP 2021,ERI,M,,2:17:17,Abdulaziz EBRAHIM,18,Marathon
Berlin Marathon - 29 SEP 2021,MGL,M,,2:18:28,Gantulga DAMBADARJAA,19,Marathon
Berlin Marathon - 29 SEP 2021,SUI,M,,2:18:50,Adrian LEHMANN,20,Marathon
Berlin Marathon - 29 SEP 2021,GBR,M,,2:18:55,Matthew CLOWES,21,Marathon
Berlin Marathon - 29 SEP 2021,IRL,M,,2:19:38,David MANSFIELD,22,Marathon
Berlin Marathon - 29 SEP 2021,BEL,M,,2:21:01,Nicolaï SAKÉ,23,Marathon
Berlin Marathon - 29 SEP 2021,IRL,M,,2:22:41,Conor DUFFY,24,Marathon
Berlin Marathon - 29 SEP 2021,ETH,M,,2:22:41,Kiros ASHENAFI,25,Marathon
Berlin Marathon - 29 SEP 2021,NOR,M,,2:23:27,Alexander KIRKEBERG,26,Marathon
Berlin Marathon - 29 SEP 2021,GER,M,,2:23:31,Tim-Niklas SCHWIPPEL,27,Marathon
Berlin Marathon - 29 SEP 2021,KEN,M,,2:24:38,Julius KIPCHIRCHIR,28,Marathon
Berlin Marathon - 29 SEP 2021,GER,M,,2:24:44,Lorenz BAUM,29,Marathon
Berlin Marathon - 29 SEP 2021,POL,M,,2:24:49,Blażej BRZEZIŃSKI,30,Marathon
