competition,country,gender,link,mark,name,position,sport
Boston Marathon - 16 APR 2018,JPN,M,,2:15:58,Yuki KAWAUCHI,1,Marathon
Boston Marathon - 16 APR 2018,KEN,M,,2:18:23,Geoffrey KIRUI,2,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:18:35,Shadrack KIPTOO BIWOTT,3,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:18:57,Tyler PENNEL,4,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:19:52,Andrew BUMBALOUGH,5,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:21:47,Scott SMITH,6,Marathon
Boston Marathon - 16 APR 2018,NED,M,,2:23:16,Abdi NAGEEYE,7,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:23:37,Elkanah KIBET,8,Marathon
Boston Marathon - 16 APR 2018,CAN,M,,2:25:02,Reid COOLSAET,9,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:27:50,Daniel VASSALLO,10,Marathon
Boston Marathon - 16 APR 2018,CRO,M,,2:27:54,Daniel DALY,11,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:28:03,Matt HERZIG,12,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:28:06,Ben ZYWICKI,13,Marathon
Boston Marathon - 16 APR 2018,KEN,M,,2:28:07,Stephen SAMBU,14,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:28:18,Abdi ABDIRAHMAN,15,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:28:38,Daniel TAPIA,16,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:28:53,Tate SCHIENBEIN,17,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:29:01,Christian THOMPSON,18,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:29:12,Matt MAROL,19,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:29:19,Jesse ANDERSON,20,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:29:43,Jackson NEFF,21,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:29:53,Jason AYR,22,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:30:06,Graham TRIBBLE,23,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:30:56,Zack BEAVIN,24,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:31:09,Joseph PENDLETON,25,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:31:35,Nate GUTHALS,26,Marathon
Boston Marathon - 16 APR 2018,JPN,M,,2:32:10,Naoki YAMADA,27,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:32:34,Sean DONOHUE,28,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:32:43,William GRAHAM,29,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:32:48,Scott MINDEL,30,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:32:50,Fan ZHOU,31,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:32:50,Dylan LOWRY,32,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:32:58,Cole SANSEVERINO,33,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:33:07,Nicholas LEMON,34,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:33:09,Riley WORL,35,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:33:18,Andrew DIONNE,36,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:33:38,Patrick HEARN,37,Marathon
Boston Marathon - 16 APR 2018,FRA,M,,2:33:46,Johan TRIMAILLE,38,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:07,Morgan KENNEDY,39,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:08,Blake JORGENSEN,40,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:19,Colin RILEY,41,Marathon
Boston Marathon - 16 APR 2018,JPN,M,,2:34:23,Kansuke MORIHASHI,42,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:24,Andrew CARTWRIGHT,43,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:28,Braden PERRY,44,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:38,Kenneth SULLIVAN,45,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:43,Alexander RINK,46,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:54,Timothy THORNBURG,47,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:54,David KILGORE,48,Marathon
Boston Marathon - 16 APR 2018,USA,M,,2:34:56,Shaun FRANDSEN,49,Marathon
Boston Marathon - 16 APR 2018,KEN,M,,DNF,Wilson Kwambai CHEBET,50,Marathon
Boston Marathon - 16 APR 2018,RSA,M,,DNF,Lusapho APRIL,51,Marathon
Boston Marathon - 16 APR 2018,USA,M,,DNF,Joseph GRAY,52,Marathon
Boston Marathon - 16 APR 2018,ETH,M,,DNF,Hayle LEMI,53,Marathon
Boston Marathon - 16 APR 2018,USA,M,,DNF,Jonas HAMPTON,54,Marathon
Boston Marathon - 16 APR 2018,KEN,M,,DNF,Philemon RONO,55,Marathon
Boston Marathon - 16 APR 2018,KEN,M,,DNF,Evans CHEBET,56,Marathon
Boston Marathon - 16 APR 2018,GER,M,,DNF,Arne GABIUS,57,Marathon
Boston Marathon - 16 APR 2018,JPN,M,,DNF,Naoki OKAMOTO,58,Marathon
Boston Marathon - 16 APR 2018,CAN,M,,DNF,Reid COOLSAET,59,Marathon
Boston Marathon - 16 APR 2018,USA,M,,DNF,Tim YOUNG,60,Marathon
Boston Marathon - 16 APR 2018,USA,M,,DNF,Tim RITCHIE,61,Marathon
Boston Marathon - 16 APR 2018,CAN,M,,DNF,Eric GILLIS,62,Marathon
Boston Marathon - 16 APR 2018,USA,M,,DNF,Ryan VAIL,63,Marathon
Boston Marathon - 16 APR 2018,USA,M,,DNF,Galen RUPP,64,Marathon
