competition,country,gender,link,mark,name,position,sport
Boston Marathon - 11 OCT 2021,KEN,F,,2:25:09,Edna Ngeringwony KIPLAGAT,1,Marathon
Boston Marathon - 11 OCT 2021,KEN,F,,2:25:20,Mary Wacera NGUGI,2,Marathon
Boston Marathon - 11 OCT 2021,KEN,F,,2:25:32,Monicah WANJUHI,3,Marathon
Boston Marathon - 11 OCT 2021,ETH,F,,2:26:09,Netsanet GUDETA,4,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:27:12,Nell ROJAS,5,Marathon
Boston Marathon - 11 OCT 2021,ETH,F,,2:27:38,Workenesh EDESA,6,Marathon
Boston Marathon - 11 OCT 2021,ETH,F,,2:28:04,Atsede BAYISA,7,Marathon
Boston Marathon - 11 OCT 2021,ETH,F,,2:29:05,Bruktayit ESHETU,8,Marathon
Boston Marathon - 11 OCT 2021,ETH,F,,2:29:06,Tigist ABAYECHEW,9,Marathon
Boston Marathon - 11 OCT 2021,KEN,F,,2:29:54,Caroline ROTICH,10,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:30:33,Elaina TABB,11,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:31:04,Dakotah LINDWURM,12,Marathon
Boston Marathon - 11 OCT 2021,ETH,F,,2:32:29,Mare DIBABA,13,Marathon
Boston Marathon - 11 OCT 2021,KEN,F,,2:33:03,Caroline Chepkoech KIPKIRUI,14,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:33:22,Susanna SULLIVAN,15,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:35:25,Desiree LINDEN,16,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:35:55,Paige STONER,17,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:36:33,Emma SPENCER,18,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:37:01,Caitlin PHILLIPS,19,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:37:06,Hilary DIONNE,20,Marathon
Boston Marathon - 11 OCT 2021,JPN,F,,2:37:12,Shiho KANESHIGE,21,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:37:27,Andrea POMARANSKI,22,Marathon
Boston Marathon - 11 OCT 2021,ETH,F,,2:37:45,Sutume Asefa KEBEDE,23,Marathon
Boston Marathon - 11 OCT 2021,KEN,F,,2:38:05,Helah Jelagat KIPROP,24,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:38:45,Dorothy MCMAHAN,25,Marathon
Boston Marathon - 11 OCT 2021,RUS,F,,2:38:47,Nina ZARINA,26,Marathon
Boston Marathon - 11 OCT 2021,CAN,F,,2:39:29,Brittany MORAN,27,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:39:53,Julia GRIFFEY,28,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:40:09,Rachel HYLAND,29,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:40:32,Sydney DEVORE,30,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:41:19,Gina ROUSE,31,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:41:43,Jordan HASAY,32,Marathon
Boston Marathon - 11 OCT 2021,COL,F,,2:42:14,Kellys  ARIAS ,33,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:42:38,Courtney OLSEN,34,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:44:44,Ann Marie KIRKPATRICK,35,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:44:53,Laurie KNOWLES,36,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:45:07,Hilary CORNO,37,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:49:44,Christina MURPHY,38,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,DNF,Brittany CHARBONEAU,39,Marathon
Boston Marathon - 11 OCT 2021,KEN,F,,DQ,Diana Chemtai KIPYOKEI,40,Marathon
Boston Marathon - 11 OCT 2021,CRC,F,,2:39:02,Diana BOGANTES,41,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:40:36,Shalane FLANAGAN,42,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:42:43,Laura PAULSEN,43,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:43:32,Pamela PINTO,44,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:44:43,Juliet BOTTORFF,45,Marathon
Boston Marathon - 11 OCT 2021,CAN,F,,2:44:59,Carolyn BUCHANAN,46,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:45:46,Katrina MORRISSEY,47,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:45:50,Tori PARKINSON,48,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:46:05,Jenny HITCHINGS,49,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:46:31,Amber ZIMMERMAN,50,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:47:57,Maya ROWEN,51,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:49:07,Megan TAYLOR,52,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:49:38,Hannah ROWE,53,Marathon
Boston Marathon - 11 OCT 2021,CAN,F,,2:49:47,Jennifer MOROZ,54,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:49:57,Eleanor MEYER,55,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:49:58,Tricia FRISELLA,56,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:50:01,Gracie GRIFFITH,57,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:50:04,Jennifer FLEMING,58,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:50:30,Sarah KLASS,59,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:50:47,Michaela SPANNAUS,60,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:51:08,Jennifer MASAMITSU,61,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:52:15,Isabella CARUSO,62,Marathon
Boston Marathon - 11 OCT 2021,GER,F,,2:52:22,Leandra ZIMMERMANN,63,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:52:33,Mary OWEN,64,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:52:38,Lauren PHILBROOK,65,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:53:06,Amy TOROTORELLO,66,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:54:16,Mariah JORDAN,67,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:54:39,Kristen VAUGHAN,68,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:54:53,Bethany SACHTLEBEN,69,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:55:00,Megan JACKOWITZ,70,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:55:11,Danya CRAWFORD,71,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:55:15,Reilly KIERNAN,72,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:55:50,Lauren TILTON,73,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:55:57,Reanna JEREB,74,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:56:00,Haley HASTY,75,Marathon
Boston Marathon - 11 OCT 2021,MEX,F,,2:56:15,Norma Alicia MORALES,76,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:56:22,Ashley CARREON,77,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:56:49,Sadie SMITH,78,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:57:41,Amber MORRISON,79,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:57:54,Anayeli JAIMES,80,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:57:55,Jane DURFEY,81,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:57:55,Caillian COLQUITT,82,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:58:01,Kristi COLEMAN,83,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:58:21,Marisa LIZAK,84,Marathon
Boston Marathon - 11 OCT 2021,ARG,F,,2:58:26,Regina SCARPIN,85,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:58:27,Gabriella DELAY,86,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:59:11,Grace GRAY,87,Marathon
Boston Marathon - 11 OCT 2021,CAN,F,,2:59:12,Rosalind SMYE MORTON,88,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:59:16,Caitie MEYER,89,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,2:59:55,Bridget STACY,90,Marathon
Boston Marathon - 11 OCT 2021,USA,F,,3:02:08,Alyssa SALESE,91,Marathon
