competition,country,gender,link,mark,name,position,sport
Chicago Marathon - 07 OCT 2018,KEN,F,,2:18:35,Brigid KOSGEI,1,Marathon
Chicago Marathon - 07 OCT 2018,ETH,F,,2:21:18,Roza DEREJE,2,Marathon
Chicago Marathon - 07 OCT 2018,ETH,F,,2:22:15,Shure DEMISE,3,Marathon
Chicago Marathon - 07 OCT 2018,KEN,F,,2:26:08,Florence KIPLAGAT,4,Marathon
Chicago Marathon - 07 OCT 2018,KEN,F,,2:31:34,Veronica WANJIRU,5,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:32:37,Sarah PORTER,6,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:32:42,Taylor WARD,7,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:33:26,Kate LANDAU,8,Marathon
Chicago Marathon - 07 OCT 2018,CAN,F,,2:34:08,Melanie MYRAND,9,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:34:53,Marci KLIMEK,10,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:36:23,Gwen JORGENSEN,11,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:36:51,Lindsey ANDERSON,12,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:38:04,Amanda MARINO,13,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:38:16,Katie MATTHEWS,14,Marathon
Chicago Marathon - 07 OCT 2018,CAN,F,,2:38:49,Shelley DOUCET,15,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:39:04,Jeanne MACK,16,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:39:11,Alyssa SCHNEIDER,17,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:39:44,Deanna ARDREY,18,Marathon
Chicago Marathon - 07 OCT 2018,CAN,F,,2:40:06,Kate GUSTAFSON,19,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:40:12,Bonnie AXMAN,20,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:40:57,Naomi FULTON,21,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:41:37,Ingrid MOLLENKOMF,22,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:42:13,Hilary CORNO,23,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:42:38,Jane BAREIKIS,24,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:42:46,Natalie SEVERY,25,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:42:55,Lauren PERKINS,26,Marathon
Chicago Marathon - 07 OCT 2018,LBN,F,,2:43:04,Chirine NJEIM,27,Marathon
Chicago Marathon - 07 OCT 2018,GRE,F,,2:43:38,Alexi PAPPAS,28,Marathon
Chicago Marathon - 07 OCT 2018,DEN,F,,2:44:11,Jess DRASKAU PETERSSON,29,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:44:16,Jordan CHESTER,30,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:44:36,Merrilee BLACKHAM,31,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:45:11,Carrie MACK,32,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:45:42,Meghan BISHOP,33,Marathon
Chicago Marathon - 07 OCT 2018,CAN,F,,2:45:45,Kait TOOHEY,34,Marathon
Chicago Marathon - 07 OCT 2018,HUN,F,,2:45:50,Nóra SZABÓ,35,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:46:05,Andrea ALT,36,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:46:29,Chelsea HALL,37,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:47:15,Catherine BECK,38,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:47:44,Erica MARRARI,39,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:47:49,Heather TANNER,40,Marathon
Chicago Marathon - 07 OCT 2018,LAT,F,,2:48:02,Lelde NEIMANDE,41,Marathon
Chicago Marathon - 07 OCT 2018,CHN,F,,2:48:06,Lingling JIN,42,Marathon
Chicago Marathon - 07 OCT 2018,CRC,F,,2:48:32,Gabriela TRAÑA,43,Marathon
Chicago Marathon - 07 OCT 2018,JPN,F,,2:48:39,Ayaka FUJIYAMA,44,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:49:07,Megan JASWELL,45,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:49:21,Emily D'ADDARIO,46,Marathon
Chicago Marathon - 07 OCT 2018,PAN,F,,2:49:36,Rolanda BELL,47,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:49:39,Laura HILLARD,48,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:49:45,Jordan SNYDER,49,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:49:48,Jeannie SULLIVAN,50,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:49:54,Christy LOVIG,51,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:50:36,Kylen CIESLAK,52,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:50:48,Tricia FRISELLA,53,Marathon
Chicago Marathon - 07 OCT 2018,HKG,F,,2:50:49,Nicole CHUI,54,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:51:09,Kirsten ALLAN,55,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:51:17,Katherine CHUTE,56,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:51:20,Kylie PEARSE,57,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:51:33,Erin HEENAN,58,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:51:42,Karen DUNN,59,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:52:00,Amanda MACUIBA,60,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:52:21,Sarah DAVID,61,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:52:28,Melissa FAIREY,62,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:52:36,Karen ECKBERG,63,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:52:43,Ingrid WALTERS,64,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:52:47,Kayte PARTCH,65,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:52:53,Katie SANDFORT,66,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:52:59,Julia RHIE,67,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:53:00,Kelly O'SHEA,68,Marathon
Chicago Marathon - 07 OCT 2018,VEN,F,,2:53:00,Yolimar PINEDA,69,Marathon
Chicago Marathon - 07 OCT 2018,GBR,F,,2:53:04,Paula RUTHERFOORD,70,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:53:08,Madeline CAREY,71,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:53:14,Danika SIMONSON,72,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:53:44,Hayley MCKEEN,73,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:53:47,Monica PRELLE,74,Marathon
Chicago Marathon - 07 OCT 2018,CRC,F,,2:54:04,Teresita ARGUEDAS,75,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:54:19,Kathryn COOPER,76,Marathon
Chicago Marathon - 07 OCT 2018,MEX,F,,2:54:23,Maria Judith NOYOLA GONZALEZ,77,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:54:31,Griselda FLORES,78,Marathon
Chicago Marathon - 07 OCT 2018,AUS,F,,2:54:35,Bree MCARDLE,79,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:54:51,Colleen MCGURK,80,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:55:09,Cristina LOWRY,81,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:55:16,Maxey HEBERT,82,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:55:24,Flannery CERBIN-BOHACH,83,Marathon
Chicago Marathon - 07 OCT 2018,CAN,F,,2:55:24,Kerri ANDREAS,84,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:55:26,Ashley BUSA,85,Marathon
Chicago Marathon - 07 OCT 2018,NOR,F,,2:55:36,Nina Wavik YTTERSTAD,86,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:55:46,Kimberly RIDINI,87,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:56:08,Rebecca ADES,88,Marathon
Chicago Marathon - 07 OCT 2018,SWE,F,,2:56:18,Catarina MALMBERG,89,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:56:24,Lauren KELLY,90,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:56:50,Nora FERGUSON,91,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:57:10,Locky TRACHSEL,92,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:57:16,Kate GUNSON,93,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:57:17,Christina CAPRICCIOSO,94,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:57:23,Amy NATALINI,95,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:57:29,Julia BUFORD,96,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:57:36,Erica VAN HEERDEN,97,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:57:42,Melissa HAMBUCHEN,98,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:57:46,Marnie KINNAIRD,99,Marathon
Chicago Marathon - 07 OCT 2018,CAN,F,,2:57:54,Jen ELLIOTT,100,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:58:08,Britney WHITEHEAD,101,Marathon
Chicago Marathon - 07 OCT 2018,CRC,F,,2:58:08,Ana Catalina MIRANDA,102,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:58:17,Alison RUSH,103,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:58:23,Alexis MCKEEL,104,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:58:33,Courtney WHITTINGTON,105,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:58:35,Victoria MACIAS,106,Marathon
Chicago Marathon - 07 OCT 2018,USA,F,,2:58:47,Natalie COMO,107,Marathon
Chicago Marathon - 07 OCT 2018,CAN,F,,2:58:54,Katarina MYLVAGANAM,108,Marathon
