competition,country,gender,link,mark,name,position,sport
Bank of America Chicago Marathon - 09 OCT 2022,KEN,M,,2:04:24,Benson KIPRUTO,1,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,ETH,M,,2:04:49,Seifu TURA,2,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,KEN,M,,2:05:01,John KORIR,3,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,KEN,M,,2:07:15,Bernard Kiprop KOECH,4,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,ETH,M,,2:07:53,Shifera TAMRU,5,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,JPN,M,,2:08:05,Kyohei HOSOYA,6,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:08:16,Conner MANTZ,7,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,MAR,M,,2:08:22,Hamza SAHLI,8,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,KEN,M,,2:08:26,Eric Kiprono KIPTANUI,9,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,CHN,M,,2:08:53,Guojian DONG,10,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:09:28,Zach PANNING,11,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:09:49,Matt MCDONALD,12,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:09:55,Nico MONTANEZ,13,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,JPN,M,,2:09:59,Riki NAKANISHI,14,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,ETH,M,,2:10:55,Abayneh DEGU,15,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,AUS,M,,2:11:02,Patrick TIERNAN,16,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,ERI,M,,2:11:38,Amanuel MESEL,17,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:11:51,Clayton YOUNG,18,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:11:59,Turner WILEY,19,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,JPN,M,,2:13:04,Hiroto FUJIMAGARI,20,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,UGA,M,,2:13:16,Stephen KISSA,21,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:13:42,Wilkerson GIVEN,22,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,JPN,M,,2:13:42,Kiyoshi KOGA,23,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:14:06,Reid BUCHANAN,24,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:14:55,Paul HOGAN,25,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:14:55,JP FLAVIN,26,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:15:22,Steven MARTINEZ,27,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:15:30,Alan PETERSON,28,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:15:50,Tyler MCCANDLESS,29,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:15:57,Frank LARA,30,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:16:03,Chase WEAVERLING,31,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,CHN,M,,2:16:11,Shaohui YANG,32,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:18:20,Garrett LEE,33,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:18:33,Dan KREMSKE,34,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:18:39,Donnie COWART,35,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,CHN,M,,2:19:06,Jianhua PENG,36,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:19:37,Jonathan HILEY,37,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:19:57,Prescott LEACH,38,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:20:42,Kevin HAVEL,39,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:21:12,Adam JONES,40,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:21:18,Mitch BAUM,41,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:21:45,John DRESSEL,42,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:22:07,Michael BABINEC,43,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:22:18,Michael ELLENBERGER,44,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:22:56,Kevin MONOGUE,45,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:23:07,Connor MORA,46,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,CAN,M,,2:23:09,Steve LAWRENCE,47,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:23:13,Terry TOSSMAN,48,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:23:36,Michael COX,49,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,HKG,M,,2:23:41,Ka Man GI,50,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:23:49,John JUDGE,51,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:23:58,Cristobal GUTIERREZ,52,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:24:03,Tyler SMITH,53,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:24:15,Grant O CONNOR,54,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:24:24,Ryan MONCRIEFF,55,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:24:43,Ryan MAHALSKY,56,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:24:51,Brian GRIFFITH,57,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:24:57,Paolo TIONGSON,58,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,FRA,M,,2:24:59,Romain MEUNIER,59,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:24:59,Ben PARE,60,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:25:40,Nikolas JEFTICH,61,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:25:44,Dan FROESCHLE,62,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,FRA,M,,2:25:52,Geoffrey POLY,63,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:25:59,Sandro EZETA,64,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,IRL,M,,2:26:06,John KINSELLA,65,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,CAN,M,,2:26:09,Cal DEWOLFE,66,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:26:22,Ashton GRISSOM,67,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:26:49,Pat LETZ,68,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,CAN,M,,2:26:52,Esteban CLAVIJO,69,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:26:55,Josh ROSENKRANZ,70,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:27:01,John BINZAK,71,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:27:05,Michael GRASING,72,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:27:25,Steve BROWNE,73,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:27:25,John LIDDELL,74,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:27:29,Chris ZUERNER,75,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:27:41,Kenny GOODFELLOW,76,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:27:46,Jake MCENEANEY,77,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:27:57,Jack KEELAN,78,Marathon
