competition,country,gender,link,mark,name,position,sport
New York Marathon - 04 NOV 2018,ETH,M,,2:05:59,Lelisa DESISA,1,Marathon
New York Marathon - 04 NOV 2018,ETH,M,,2:06:01,Shura KITATA,2,Marathon
New York Marathon - 04 NOV 2018,KEN,M,,2:06:26,Geoffrey KAMWOROR,3,Marathon
New York Marathon - 04 NOV 2018,ETH,M,,2:08:30,Tamirat TOLA,4,Marathon
New York Marathon - 04 NOV 2018,KEN,M,,2:10:21,Daniel KINYUA,5,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:12:24,Jared WARD,6,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:12:28,Scott FAUBLE,7,Marathon
New York Marathon - 04 NOV 2018,KEN,M,,2:12:40,Festus TALAM,8,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:12:52,Shadrack KIPTOO BIWOTT,9,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:13:08,Chris DERRICK,10,Marathon
New York Marathon - 04 NOV 2018,MEX,M,,2:13:55,Juan Luis BARRIOS,11,Marathon
New York Marathon - 04 NOV 2018,ETH,M,,2:13:57,Tadesse DABI,12,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:15:22,Tim RITCHIE,13,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:15:31,Ryan VAIL,14,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:16:09,Jonathan MELLOR,15,Marathon
New York Marathon - 04 NOV 2018,UGA,M,,2:16:51,Harbert OKUTI,16,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:17:12,Scott SMITH,17,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:17:20,Bernard LAGAT,18,Marathon
New York Marathon - 04 NOV 2018,ETH,M,,2:18:18,Girma BEKELE,19,Marathon
New York Marathon - 04 NOV 2018,ETH,M,,2:18:20,Birhanu Dare KEMAL,20,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:19:29,Mizael CARRERA,21,Marathon
New York Marathon - 04 NOV 2018,ETH,M,,2:19:45,Suleiman ABRAR SHIFA,22,Marathon
New York Marathon - 04 NOV 2018,ETH,M,,2:20:01,Deriba DEGEFA,23,Marathon
New York Marathon - 04 NOV 2018,ETH,M,,2:20:16,Habtemariam TEMESGEN,24,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:20:23,Andrew DAVIES,25,Marathon
New York Marathon - 04 NOV 2018,BEL,M,,2:22:53,Florent CAELEN,26,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:23:38,Jeremy BENNIE,27,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:25:05,Matthew GILLESPIE,28,Marathon
New York Marathon - 04 NOV 2018,GUA,M,,2:25:25,Luis Carlos RIVERO,29,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:26:16,Derrick HAMEL,30,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:26:28,Alex MONROE,31,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:26:31,Nick HILTON,32,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:26:32,Aliaksandr LEUCHANKA,33,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:26:45,Dan GLAZ,34,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:27:35,Nick MCCORMICK,35,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:27:51,James KELLY,36,Marathon
New York Marathon - 04 NOV 2018,GER,M,,2:27:54,Felix PLINKE,37,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:28:05,Jack ST. MARIE,38,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:28:09,David KILGORE,39,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:28:30,Matt BEAMER,40,Marathon
New York Marathon - 04 NOV 2018,ITA,M,,2:28:43,Cristian MARIANELLI,41,Marathon
New York Marathon - 04 NOV 2018,ESP,M,,2:28:50,Raúl FERNÁNDEZ,42,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:28:54,Chris THOMPSON,43,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:28:55,Peter LIGHTING,44,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:28:57,Sean FITZPATRICK,45,Marathon
New York Marathon - 04 NOV 2018,ARG,M,,2:28:59,Lucas BÁEZ,46,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:29:05,Charles SANDISON,47,Marathon
New York Marathon - 04 NOV 2018,ITA,M,,2:29:22,Massimiliano MILANI,48,Marathon
New York Marathon - 04 NOV 2018,ETH,M,,2:29:25,Abu KEBEDE,49,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:29:32,Alex PRICE,50,Marathon
New York Marathon - 04 NOV 2018,ITA,M,,2:29:42,Daniele MEUCCI,51,Marathon
New York Marathon - 04 NOV 2018,NOR,M,,2:29:49,André BORGEN,52,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:30:03,Lawrence AVERY,53,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:30:05,Conor CASHIN,54,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:30:20,Stuart HAYES,55,Marathon
New York Marathon - 04 NOV 2018,SWE,M,,2:30:33,Martin KJÂLL OHLSSON,56,Marathon
New York Marathon - 04 NOV 2018,FRA,M,,2:31:05,Jérôme JOUSSEMET,57,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:31:11,Eric BOWLES,58,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:31:19,Tim ROSSI,59,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:31:23,Chris HARTSHORN,60,Marathon
New York Marathon - 04 NOV 2018,CZE,M,,2:31:23,Robert HECZKO,61,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:31:23,Jordan O'DONOGHUE,62,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:31:33,Jonathan TIPPER,63,Marathon
New York Marathon - 04 NOV 2018,CAN,M,,2:31:47,Steven MCELLIGOTT,64,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:31:51,Joe VIAVATTINE,65,Marathon
New York Marathon - 04 NOV 2018,POL,M,,2:32:03,Grzegorz GRONOSTAJ,66,Marathon
New York Marathon - 04 NOV 2018,CRC,M,,2:32:19,Jonathan VARELA,67,Marathon
New York Marathon - 04 NOV 2018,NED,M,,2:32:32,Sjef DE KIMPE,68,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:32:46,Damien BRUNEAU,69,Marathon
New York Marathon - 04 NOV 2018,EGY,M,,2:32:53,Hashem ZIKRY,70,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:33:17,Felix CANCRE,71,Marathon
New York Marathon - 04 NOV 2018,GBR,M,,2:33:32,Andrea FRAQUELLI,72,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:33:48,Tim JEFFREYS,73,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:33:49,Seth WOODRING,74,Marathon
New York Marathon - 04 NOV 2018,IRL,M,,2:33:57,Kieran LITTLE,75,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:34:02,Connor MARTIN,76,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:34:46,Matt LINDGREN,77,Marathon
New York Marathon - 04 NOV 2018,ITA,M,,2:34:51,Stefano GHENDA,78,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:34:54,Michael WARDIAN,79,Marathon
New York Marathon - 04 NOV 2018,USA,M,,2:34:54,Calum NEFF,80,Marathon
New York Marathon - 04 NOV 2018,USA,M,,DNF,Abdi ABDIRAHMAN,81,Marathon
New York Marathon - 04 NOV 2018,TAN,M,,DNF,Alphonce Felix SIMBU,82,Marathon
New York Marathon - 04 NOV 2018,CHN,M,,DQ,Yipeng LI,83,Marathon
