competition,country,gender,link,mark,name,position,sport
London Marathon - 22 APR 2018,KEN,M,,2:04:17,Eliud KIPCHOGE,1,Marathon
London Marathon - 22 APR 2018,ETH,M,,2:04:49,Shura KITATA,2,Marathon
London Marathon - 22 APR 2018,GBR,M,,2:06:21,Mo FARAH,3,Marathon
London Marathon - 22 APR 2018,KEN,M,,2:07:07,Abel KIRUI,4,Marathon
London Marathon - 22 APR 2018,KEN,M,,2:08:34,Bedan KAROKI,5,Marathon
London Marathon - 22 APR 2018,ETH,M,,2:08:53,Kenenisa BEKELE,6,Marathon
London Marathon - 22 APR 2018,KEN,M,,2:09:25,Lawrence CHERONO,7,Marathon
London Marathon - 22 APR 2018,KEN,M,,2:10:35,Daniel KINYUA,8,Marathon
London Marathon - 22 APR 2018,ERI,M,,2:11:52,Amanuel MESEL,9,Marathon
London Marathon - 22 APR 2018,ERI,M,,2:12:09,Yohanes GHEBREGERGIS,10,Marathon
London Marathon - 22 APR 2018,UKR,M,,2:15:06,Igor OLEFIRENKO,11,Marathon
London Marathon - 22 APR 2018,IRL,M,,2:15:55,Stephen SCULLION,12,Marathon
London Marathon - 22 APR 2018,USA,M,,2:17:39,Fernando CABADA,13,Marathon
London Marathon - 22 APR 2018,GBR,M,,2:17:55,Jonathan MELLOR,14,Marathon
London Marathon - 22 APR 2018,USA,M,,2:21:17,Samuel CHELANGA,15,Marathon
London Marathon - 22 APR 2018,JPN,M,,2:25:42,Tatsunori HAMASAKI,16,Marathon
London Marathon - 22 APR 2018,ETH,M,,2:32:35,Guye Idemo ADOLA,17,Marathon
London Marathon - 22 APR 2018,GBR,M,,2:43:16,Matthew CLOWES,18,Marathon
London Marathon - 22 APR 2018,GBR,M,,DNF,Aaron SCOTT,19,Marathon
London Marathon - 22 APR 2018,ERI,M,,DNF,Ghirmay GHEBRESLASSIE,20,Marathon
