competition,country,gender,link,mark,name,position,sport
Virgin Money London Marathon - 28 APR 2019,KEN,F,,2:18:20,Brigid KOSGEI,1,Marathon
Virgin Money London Marathon - 28 APR 2019,KEN,F,,2:20:14,Vivian Jepkemoi CHERUIYOT,2,Marathon
Virgin Money London Marathon - 28 APR 2019,ETH,F,,2:20:51,Roza DEREJE,3,Marathon
Virgin Money London Marathon - 28 APR 2019,KEN,F,,2:20:52,Gladys CHERONO,4,Marathon
Virgin Money London Marathon - 28 APR 2019,KEN,F,,2:20:58,Mary Jepkosgei KEITANY,5,Marathon
Virgin Money London Marathon - 28 APR 2019,USA,F,,2:23:08,Emily SISSON,6,Marathon
Virgin Money London Marathon - 28 APR 2019,AUS,F,,2:24:11,Sinead DIVER,7,Marathon
Virgin Money London Marathon - 28 APR 2019,POR,F,,2:24:47,Salomé ROCHA,8,Marathon
Virgin Money London Marathon - 28 APR 2019,ETH,F,,2:25:04,Birhane DIBABA,9,Marathon
Virgin Money London Marathon - 28 APR 2019,GBR,F,,2:25:38,Charlotte PURDUE,10,Marathon
Virgin Money London Marathon - 28 APR 2019,KEN,F,,2:26:06,Linet Chepkwemoi MASAI,11,Marathon
Virgin Money London Marathon - 28 APR 2019,USA,F,,2:26:33,Molly HUDDLE,12,Marathon
Virgin Money London Marathon - 28 APR 2019,JPN,F,,2:26:47,Yuka ANDO,13,Marathon
Virgin Money London Marathon - 28 APR 2019,MDA,F,,2:27:26,Lilia FISIKOVICI,14,Marathon
Virgin Money London Marathon - 28 APR 2019,JPN,F,,2:27:27,Mao ICHIYAMA,15,Marathon
Virgin Money London Marathon - 28 APR 2019,GBR,F,,2:31:00,Tish JONES,16,Marathon
Virgin Money London Marathon - 28 APR 2019,GBR,F,,2:31:53,Lily PARTRIDGE,17,Marathon
Virgin Money London Marathon - 28 APR 2019,GBR,F,,2:33:59,Hayley CARRUTHERS,18,Marathon
Virgin Money London Marathon - 28 APR 2019,GBR,F,,2:36:26,Tracy BARLOW,19,Marathon
Virgin Money London Marathon - 28 APR 2019,GBR,F,,2:36:50,Sonia THOMAS-SAMUELS,20,Marathon
Virgin Money London Marathon - 28 APR 2019,GBR,F,,2:40:31,Natasha COCKRAM,21,Marathon
Virgin Money London Marathon - 28 APR 2019,ETH,F,,DNF,Tadelech BEKELE,22,Marathon
Virgin Money London Marathon - 28 APR 2019,ETH,F,,DNF,Haftamnesh TESFAYE,23,Marathon
Virgin Money London Marathon - 28 APR 2019,BRN,F,,DNF,Eunice Chebichii CHUMBA,24,Marathon
Virgin Money London Marathon - 28 APR 2019,KEN,F,,DNF,Edith CHELIMO,25,Marathon
Virgin Money London Marathon - 28 APR 2019,KEN,F,,DNF,Dorcas Jepchirchir TUITOEK,26,Marathon
Virgin Money London Marathon - 28 APR 2019,NED,F,,DNF,Ruth VAN DER MEIJDEN,27,Marathon
Virgin Money London Marathon - 28 APR 2019,KEN,F,,DNF,Joyciline JEPKOSGEI,28,Marathon
Virgin Money London Marathon - 28 APR 2019,SWE,F,,2:31:40,Mikaela LARSSON,29,Marathon
Virgin Money London Marathon - 28 APR 2019,GBR,F,,2:32:46,Stephanie DAVIS,30,Marathon
Virgin Money London Marathon - 28 APR 2019,USA,F,,2:37:24,Julia ROMAN-DUVAL,31,Marathon
Virgin Money London Marathon - 28 APR 2019,HUN,F,,2:38:58,Fanni GYURKÓ,32,Marathon
Virgin Money London Marathon - 28 APR 2019,NZL,F,,2:39:19,Rochelle SCEATS-BASIL,33,Marathon
