competition,country,gender,link,mark,name,position,sport
New York Marathon - 04 NOV 2018,KEN,F,,2:22:48,Mary Jepkosgei KEITANY,1,Marathon
New York Marathon - 04 NOV 2018,KEN,F,,2:26:02,Vivian Jepkemoi CHERUIYOT,2,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:26:22,Shalane FLANAGAN,3,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:26:44,Molly HUDDLE,4,Marathon
New York Marathon - 04 NOV 2018,ETH,F,,2:27:13,Rahma TUSA,5,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:27:51,Desiree LINDEN,6,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:28:12,Allie KIEFFER,7,Marathon
New York Marathon - 04 NOV 2018,AUS,F,,2:29:11,Lisa WEIGHTMAN,8,Marathon
New York Marathon - 04 NOV 2018,ETH,F,,2:30:31,Mamitu DASKA,9,Marathon
New York Marathon - 04 NOV 2018,ETH,F,,2:30:47,Belaynesh FIKADU,10,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:30:59,Stephanie BRUCE,11,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:31:01,Roberta GRONER,12,Marathon
New York Marathon - 04 NOV 2018,RSA,F,,2:31:04,Gerda STEYN,13,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:31:12,Carrie DIMOFF,14,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:32:04,Samantha BLUSKE,15,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:32:43,Sydney DEVORE,16,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:36:35,Brittany CHARBONEAU,17,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:36:37,Sarah SELLERS,18,Marathon
New York Marathon - 04 NOV 2018,PUR,F,,2:40:58,Beverly RAMOS,19,Marathon
New York Marathon - 04 NOV 2018,BRA,F,,2:41:00,Adriana Aparecida DA SILVA,20,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:41:32,Angela ORTIZ,21,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:42:19,Eva VAIL,22,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:46:38,Kelsey BRUCE,23,Marathon
New York Marathon - 04 NOV 2018,ETH,F,,DNF,Askale MERACHI,24,Marathon
New York Marathon - 04 NOV 2018,ETH,F,,DNF,Netsanet GUDETA,25,Marathon
New York Marathon - 04 NOV 2018,SWE,F,,2:36:50,Caroline ALMKVIST,26,Marathon
New York Marathon - 04 NOV 2018,NZL,F,,2:40:54,Lydia O'DONNELL,27,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:48:24,Bridie MCCAREY,28,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:49:09,Anoush SHEHADEH,29,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:50:00,Danielle HODGE,30,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:51:37,Molly ROUILLARD,31,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:52:21,Kelsey PERSYN,32,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:52:31,Ericka MASON,33,Marathon
New York Marathon - 04 NOV 2018,GER,F,,2:52:58,Lisa OED,34,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:53:47,Kelsi CHAPPELL,35,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:53:51,HollyAnn SWANN,36,Marathon
New York Marathon - 04 NOV 2018,NED,F,,2:53:56,Marije GEURTSEN,37,Marathon
New York Marathon - 04 NOV 2018,GER,F,,2:54:28,Anna STAROSTZIK,38,Marathon
New York Marathon - 04 NOV 2018,GER,F,,2:54:28,Anna-Katharina PLINKE,39,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:54:36,Sinead BURNS,40,Marathon
New York Marathon - 04 NOV 2018,ITA,F,,2:54:41,Giulia SOMMI,41,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:54:59,Caroline WILLIAN,42,Marathon
New York Marathon - 04 NOV 2018,GBR,F,,2:55:25,Gillian PEASE,43,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:55:26,Nicole QUILLIAM,44,Marathon
New York Marathon - 04 NOV 2018,CHN,F,,2:55:35,Yue WANG,45,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:55:45,Manon BLACKMAN,46,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:55:48,Danika SIMONSON,47,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:56:09,Angie CHANEY,48,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:56:09,Alysia DUSSEAU,49,Marathon
New York Marathon - 04 NOV 2018,JPN,F,,2:56:32,Risa SUZUKI,50,Marathon
New York Marathon - 04 NOV 2018,GBR,F,,2:56:36,Zanthe WRAY,51,Marathon
New York Marathon - 04 NOV 2018,CHI,F,,2:56:37,Catalina LANGLOIS,52,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:56:51,Marissa WARD,53,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:56:59,Kimberly RIDINI,54,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:57:01,Amy NATALINI,55,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:57:06,Morgan LINGAR,56,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:57:07,Amy MANNING,57,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:57:12,Brandy LECLAIR,58,Marathon
New York Marathon - 04 NOV 2018,SWE,F,,2:57:22,Louise DAVIDSSON,59,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:57:23,Shanda MATTIS,60,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:57:42,Nancy JURGENS,61,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:58:04,Kayla KLOSTERHOFF,62,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:58:05,Kelsey LUOMA,63,Marathon
New York Marathon - 04 NOV 2018,ETH,F,,2:58:06,Meseret Ali BASA,64,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:58:26,Lauren ROSS,65,Marathon
New York Marathon - 04 NOV 2018,BLR,F,,2:58:32,Halina STANKEVICH,66,Marathon
New York Marathon - 04 NOV 2018,AUS,F,,2:58:32,Emma KRAFT,67,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:58:34,Laura HEINTZ,68,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:58:36,Mary Kate BIDA,69,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:58:52,Emily FAYETTE,70,Marathon
New York Marathon - 04 NOV 2018,CHN,F,,2:58:55,Wanwen QI,71,Marathon
New York Marathon - 04 NOV 2018,UKR,F,,2:59:01,Anna ABDULOVA,72,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:59:05,Ingrid WELLS,73,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:59:20,Liz STEPHEN,74,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:59:21,Jennifer DONNELLY,75,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:59:31,Meghan BONGARTZ,76,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:59:43,Erin CHAMBERLIN,77,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:59:44,Dina KITAYAMA,78,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:59:51,Jana TRENK,79,Marathon
New York Marathon - 04 NOV 2018,USA,F,,2:59:53,Yellen PAIGE,80,Marathon
New York Marathon - 04 NOV 2018,GBR,F,,2:59:54,Ashley SANDERSON,81,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:00:12,Elizabeth MORRIS,82,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:00:35,Nicole GREEN,83,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:00:48,Deirdre DWYER,84,Marathon
New York Marathon - 04 NOV 2018,CHI,F,,3:00:48,Carla SAEZ,85,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:01:06,Caroline DAY,86,Marathon
New York Marathon - 04 NOV 2018,GBR,F,,3:01:17,Edwina MCDOWALL,87,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:01:30,Kelsey BRAITHWAITE,88,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:01:45,Kathleen STEWART,89,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:01:46,Juliet HERSHEY-BEATT,90,Marathon
New York Marathon - 04 NOV 2018,SUI,F,,3:01:55,Kathrin KNUCHEL,91,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:01:55,Jessica SPAR,92,Marathon
New York Marathon - 04 NOV 2018,AUS,F,,3:01:57,Ingrid CLELAND,93,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:02:20,Sarah MELLEA,94,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:02:31,Julie HARTENBACH,95,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:02:33,Megan GOHRES,96,Marathon
New York Marathon - 04 NOV 2018,GBR,F,,3:02:42,Teresa MURPHY,97,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:02:48,Maria CABRERA,98,Marathon
New York Marathon - 04 NOV 2018,DEN,F,,3:02:55,Lisa Ingrid BJURSTRÖM,99,Marathon
New York Marathon - 04 NOV 2018,FRA,F,,3:03:05,Stephanie MICHEA,100,Marathon
New York Marathon - 04 NOV 2018,USA,F,,3:03:24,Sarah BISCHOFF,101,Marathon
New York Marathon - 04 NOV 2018,HUN,F,,3:13:31,Zita HORNYÁK,102,Marathon
