competition,country,gender,link,mark,name,position,sport
TCS New York City Marathon - 06 NOV 2022,KEN,M,,2:08:41,Evans CHEBET,1,Marathon
TCS New York City Marathon - 06 NOV 2022,ETH,M,,2:08:54,Shura KITATA,2,Marathon
TCS New York City Marathon - 06 NOV 2022,NED,M,,2:10:31,Abdi NAGEEYE,3,Marathon
TCS New York City Marathon - 06 NOV 2022,MAR,M,,2:11:00,Mohamed Reda EL AARABY,4,Marathon
TCS New York City Marathon - 06 NOV 2022,JPN,M,,2:11:31,Suguru OSAKO,5,Marathon
TCS New York City Marathon - 06 NOV 2022,JPN,M,,2:12:12,Tetsuya YOROIZAKA,6,Marathon
TCS New York City Marathon - 06 NOV 2022,KEN,M,,2:13:27,Albert KORIR,7,Marathon
TCS New York City Marathon - 06 NOV 2022,ITA,M,,2:13:29,Daniele MEUCCI,8,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:13:35,Scott FAUBLE,9,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:15:23,Reed FISCHER,10,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:17:09,Jared WARD,11,Marathon
TCS New York City Marathon - 06 NOV 2022,NZL,M,,2:17:15,Matt BAXTER,12,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:17:29,Leonard KORIR,13,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:20:04,Matt LLANO,14,Marathon
TCS New York City Marathon - 06 NOV 2022,BDI,M,,2:20:14,Olivier IRABARUTA,15,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:22:58,Jonas HAMPTON,16,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:23:10,Alberto MENA,17,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:23:42,Eddie MULDER,18,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:25:27,Nathan MARTIN,19,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:25:45,Jeff THIES,20,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:28:15,Shadrack KIPCHIRCHIR,21,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:30:38,Birhana ASHENAFI,22,Marathon
TCS New York City Marathon - 06 NOV 2022,NED,M,,2:31:21,Frank FUTSELAAR,23,Marathon
TCS New York City Marathon - 06 NOV 2022,GBR,M,,2:33:56,Ben TOOMER,24,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:35:45,Martin HEHIR,25,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,2:37:17,Caleb KERR,26,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,DNF,Abdi ABDIRAHMAN,27,Marathon
TCS New York City Marathon - 06 NOV 2022,BRA,M,,DNF,Daniel DO NASCIMENTO,28,Marathon
TCS New York City Marathon - 06 NOV 2022,USA,M,,DNF,Galen RUPP,29,Marathon
TCS New York City Marathon - 06 NOV 2022,ETH,M,,DNF,Girma BEKELE,30,Marathon
TCS New York City Marathon - 06 NOV 2022,ETH,M,,DNF,Birhanu Dare KEMAL,31,Marathon
TCS New York City Marathon - 06 NOV 2022,SUI,M,,DNF,Tadesse ABRAHAM,32,Marathon
TCS New York City Marathon - 06 NOV 2022,GER,M,,2:22:45,Hendrik PFEIFFER,33,Marathon
