competition,country,gender,link,mark,name,position,sport
Tokyo Marathon - 01 MAR 2020,ETH,M,,2:04:15,Birhanu LEGESE,1,Marathon
Tokyo Marathon - 01 MAR 2020,BEL,M,,2:04:49,Bashir ABDI,2,Marathon
Tokyo Marathon - 01 MAR 2020,ETH,M,,2:04:51,Sisay LEMMA,3,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:05:29,Suguru OSAKO,4,Marathon
Tokyo Marathon - 01 MAR 2020,KEN,M,,2:06:15,Bedan KAROKI,5,Marathon
Tokyo Marathon - 01 MAR 2020,BRN,M,,2:06:22,El Hassan EL ABBASSI,6,Marathon
Tokyo Marathon - 01 MAR 2020,ETH,M,,2:06:23,Asefa MENGSTU,7,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:06:45,Ryu TAKAKU,8,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:06:54,Daisuke UEKADO,9,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:07:05,Toshiki SADAKATA,10,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:07:20,Shin KIMURA,11,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:07:23,Yusuke OGURA,12,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:07:27,Yuta SHIMODA,13,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:07:31,Masato KIKUCHI,14,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:07:39,Tadashi ISSHIKI,15,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:07:45,Yuta SHITARA,16,Marathon
Tokyo Marathon - 01 MAR 2020,KEN,M,,2:07:56,Simon KARIUKI,17,Marathon
Tokyo Marathon - 01 MAR 2020,KEN,M,,2:08:00,Amos KIPRUTO,18,Marathon
Tokyo Marathon - 01 MAR 2020,ETH,M,,2:08:12,Getaneh MOLLA,19,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:08:37,Naoki OKAMOTO,20,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:08:44,Shuhei KURATA,21,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:08:45,Takuya FUJIKAWA,22,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:08:45,Yuji IWATA,23,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:08:52,Minato OISHI,24,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:09:04,Chihiro MIYAWAKI,25,Marathon
Tokyo Marathon - 01 MAR 2020,JPN,M,,2:09:34,Hiroto INOUE,26,Marathon
