competition,country,gender,link,mark,name,position,sport
Tokyo Marathon - 05 MAR 2023,KEN,F,,2:16:28,Rosemary WANJIRU,1,Marathon
Tokyo Marathon - 05 MAR 2023,ETH,F,,2:16:56,Tsehay GEMECHU,2,Marathon
Tokyo Marathon - 05 MAR 2023,ETH,F,,2:19:11,Ashete BEKERE,3,Marathon
Tokyo Marathon - 05 MAR 2023,ETH,F,,2:20:13,Workenesh EDESA,4,Marathon
Tokyo Marathon - 05 MAR 2023,USA,F,,2:21:40,Betsy SAINA,5,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:21:44,Mizuki MATSUDA,6,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:22:08,Ai HOSODA,7,Marathon
Tokyo Marathon - 05 MAR 2023,USA,F,,2:26:08,Lindsay FLANAGAN,8,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:26:31,Kaori MORITA,9,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:28:20,Yukari ABE,10,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:29:17,Hanae TANAKA,11,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:30:31,Natsumi MATSUSHITA,12,Marathon
Tokyo Marathon - 05 MAR 2023,AUS,F,,2:31:42,Lisa WEIGHTMAN,13,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:31:52,Mao ICHIYAMA,14,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:32:14,Hitomi MIZUGUCHI,15,Marathon
Tokyo Marathon - 05 MAR 2023,ISR,F,,2:32:19,Bracha DEUTSCH,16,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:34:01,Yui OKADA,17,Marathon
Tokyo Marathon - 05 MAR 2023,GBR,F,,2:36:44,Rachel HODGKINSON,18,Marathon
Tokyo Marathon - 05 MAR 2023,CAN,F,,2:38:53,Krista DUCHENE,19,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:39:47,Yuki MIZUSEDA,20,Marathon
Tokyo Marathon - 05 MAR 2023,NZL,F,,2:40:01,Olivia WITNEY,21,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:40:38,Mai FUJISAWA,22,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:40:49,Miho NAKATA,23,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:41:33,Shinobu AYABE,24,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:41:59,Eri SUZUKI,25,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:42:10,Chizuru OI,26,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:42:31,Nagisa GODA,27,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:42:43,Chiaki MORIKAWA,28,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:43:07,Rieko KOSHI,29,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:44:00,Mitsuko HIROSE,30,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:44:14,Meari OOBUCHI,31,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:44:38,Haruna TAKANO,32,Marathon
Tokyo Marathon - 05 MAR 2023,JPN,F,,2:44:45,Kyoko MATUMOTO,33,Marathon
