competition,country,link,mark,name,position,sport
Eugene Prefontaine Classic - 27–28 MAY 2016,USA,,['22.13'],Joe KOVACS,"(['1.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 27–28 MAY 2016,NZL,,['20.84'],Tom WALSH,"(['2.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 27–28 MAY 2016,USA,,['20.58'],Reese HOFFA,"(['3.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 27–28 MAY 2016,POL,,['20.43'],Tomasz MAJEWSKI,"(['4.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 27–28 MAY 2016,USA,,['20.31'],Jordan CLARKE,"(['5.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 27–28 MAY 2016,USA,,['20.27'],Ryan CROUSER,"(['6.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 27–28 MAY 2016,CAN,,['20.20'],Tim NEDOW,"(['7.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 27–28 MAY 2016,USA,,['20.13'],Kurt ROBERTS,"(['8.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 27–28 MAY 2016,USA,,['19.63'],Ryan WHITING,"(['9.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 27–28 MAY 2016,JAM,,['19.09'],O'Dayne RICHARDS,"(['10.'],)","([""Men's Shot Put""],)"
