competition,country,link,mark,name,position,sport
Paris Meeting - 27 AUG 2016,NZL,,['22.00'],Tom WALSH,"(['1.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,USA,,['21.99'],Ryan CROUSER,"(['2.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,USA,,['20.78'],Kurt ROBERTS,"(['3.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,USA,,['20.65'],Ryan WHITING,"(['4.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,POL,,['20.36'],Konrad BUKOWIECKI,"(['5.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,USA,,['20.30'],Darrell HILL,"(['6.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,CGO,,['20.27'],Franck ELEMBA,"(['7.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,USA,,['20.18'],Joe KOVACS,"(['8.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,POL,,['19.60'],Michał HARATYK,"(['9.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,BRA,,['19.47'],Darlan ROMANI,"(['10.'],)","([""Men's Shot Put""],)"
Paris Meeting - 27 AUG 2016,FRA,,['17.70'],Frédéric DAGEE,"(['11.'],)","([""Men's Shot Put""],)"
