competition,country,link,mark,name,position,sport
Shanghai Golden Grand Prix - 14 MAY 2016,USA,,['21.40'],Kurt ROBERTS,"(['1.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,NZL,,['21.20'],Tom WALSH,"(['2.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,USA,,['20.82'],Joe KOVACS,"(['3.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,POL,,['20.76'],Tomasz MAJEWSKI,"(['4.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,CAN,,['20.40'],Tim NEDOW,"(['5.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,USA,,['20.30'],Jordan CLARKE,"(['6.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,CGO,,['19.47'],Franck ELEMBA,"(['7.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,USA,,['19.34'],Ryan WHITING,"(['8.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,CHN,,['19.30'],Yang LIU,"(['9.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,JAM,,['19.22'],O'Dayne RICHARDS,"(['10.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 14 MAY 2016,CHN,,['18.80'],Jiaxiang WU,"(['11.'],)","([""Men's Shot Put""],)"
