competition,country,link,mark,name,position,sport
AG Memorial Van Damme - 05–06 SEP 2019,NZL,,['22.30'],Tom WALSH,"(['1.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,BRA,,['22.15'],Darlan ROMANI,"(['2.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,USA,,['22.08'],Ryan CROUSER,"(['3.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,POL,,['21.91'],Konrad BUKOWIECKI,"(['4.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,USA,,['21.13'],Darrell HILL,"(['5.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,POL,,['20.91'],Michał HARATYK,"(['6.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,CZE,,['20.86'],Tomáš STANĚK,"(['7.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,USA,,['20.60'],Joe KOVACS,"(['8.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,BEL,,['17.46'],Matthias QUINTELIER,"(['1.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,BEL,,['17.31'],Max VLASSAK,"(['2.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,NED,,['16.69'],Remco GOETHEER,"(['3.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,BEL,,['16.50'],Jarno WAGEMANS,"(['4.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,BEL,,['16.45'],Stijn SPILLIAERT,"(['5.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,BEL,,['15.58'],Jonathan GUILLAUME,"(['6.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
AG Memorial Van Damme - 05–06 SEP 2019,BEL,,['14.49'],Filip EECKHOUT,"(['7.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
