competition,country,link,mark,name,position,sport
Paris Meeting AREVA - 04 JUL 2015,GER,,['20.31'],Christina SCHWANITZ,"(['1.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,CHN,,['19.75'],Lijiao GONG,"(['2.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,USA,,['19.37'],Michelle CARTER,"(['3.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,TTO,,['19.07'],Cleopatra BOREL,"(['4.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,NZL,,['18.79'],Valerie ADAMS,"(['5.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,USA,,['18.79'],Jeneva STEVENS,"(['6.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,HUN,,['18.42'],Anita MÁRTON,"(['7.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,USA,,['17.81'],Brittany SMITH,"(['8.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,BLR,,['17.70'],Natalya MIKHNEVICH,"(['9.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,USA,,['17.22'],Tia BROOKS-WANNEMACHER,"(['10.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,FRA,,['16.70'],Jessica CÉRIVAL,"(['11.'],)","([""Women's Shot Put""],)"
Paris Meeting AREVA - 04 JUL 2015,RUS,,['DQ'],Irina TARASOVA,"([' - '],)","([""Women's Shot Put""],)"
