competition,country,link,mark,name,position,sport
Shanghai IAAF Diamond League - 12 MAY 2018,CHN,,['19.99'],Lijiao GONG,"(['1.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,JAM,,['18.70'],Danniel THOMAS-DODD,"(['2.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,USA,,['18.63'],Raven SAUNDERS,"(['3.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,BLR,,['18.42'],Yuliya LEANTSIUK,"(['4.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,POL,,['18.25'],Paulina GUBA,"(['5.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,HUN,,['18.16'],Anita MÁRTON,"(['6.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,CHN,,['18.12'],Yang GAO,"(['7.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,NZL,,['18.01'],Valerie ADAMS,"(['8.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,NED,,['17.11'],Melissa BOEKELMAN,"(['9.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,CHN,,['17.05'],Tianqian GUO,"(['10.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 12 MAY 2018,USA,,['16.57'],Daniella HILL,"(['11.'],)","([""Women's Shot Put""],)"
