competition,country,link,mark,name,position,sport
IAAF Diamond League - 18 MAY 2019,USA,,['19.58'],Chase EALEY,"(['1.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,CHN,,['19.44'],Lijiao GONG,"(['2.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,BLR,,['18.78'],Aliona DUBITSKAYA,"(['3.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,USA,,['18.61'],Jessica RAMSEY,"(['4.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,JAM,,['18.54'],Danniel THOMAS-DODD,"(['5.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,USA,,['18.48'],Maggie EWEN,"(['6.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,SWE,,['18.30'],Fanny ROOS,"(['7.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,POL,,['17.86'],Paulina GUBA,"(['8.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,HUN,,['17.65'],Anita MÁRTON,"(['9.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,USA,,['17.36'],Daniella HILL,"(['10.'],)","([""Women's Shot Put""],)"
IAAF Diamond League - 18 MAY 2019,CHN,,['16.79'],Ka BIAN,"(['11.'],)","([""Women's Shot Put""],)"
