competition,country,link,mark,name,position,sport
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/ryan-crouser-14369211,23.30,Ryan CROUSER,1,"(['Shot Put'],)"
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/joe-kovacs-14243308,22.65,Joe KOVACS,2,"(['Shot Put'],)"
The XXXII Olympic Games,NZL,https://www.worldathletics.org/athletes/new-zealand/tomas-walsh-14413007,22.47,Tomas WALSH,3,"(['Shot Put'],)"
The XXXII Olympic Games,BRA,https://www.worldathletics.org/athletes/brazil/darlan-romani-14377465,21.88,Darlan ROMANI,4,"(['Shot Put'],)"
The XXXII Olympic Games,ITA,https://www.worldathletics.org/athletes/italy/zane-weir-14544053,21.41,Zane WEIR,5,"(['Shot Put'],)"
The XXXII Olympic Games,RSA,https://www.worldathletics.org/athletes/south-africa/kyle-blignaut-14694594,21.00,Kyle BLIGNAUT,6,"(['Shot Put'],)"
The XXXII Olympic Games,SRB,https://www.worldathletics.org/athletes/serbia/armin-sinančević-14709517,20.89,Armin SINANČEVIĆ,7,"(['Shot Put'],)"
The XXXII Olympic Games,EGY,https://www.worldathletics.org/athletes/egypt/mostafa-amr-hassan-14643432,20.73,Mostafa Amr HASSAN,8,"(['Shot Put'],)"
The XXXII Olympic Games,NZL,https://www.worldathletics.org/athletes/new-zealand/jacko-gill-14382701,20.71,Jacko GILL,9,"(['Shot Put'],)"
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/payton-otterdahl-14674710,20.32,Payton OTTERDAHL,10,"(['Shot Put'],)"
The XXXII Olympic Games,BIH,https://www.worldathletics.org/athletes/bosniaherzegovina/mesud-pezer-14409892,20.08,Mesud PEZER,11,"(['Shot Put'],)"
The XXXII Olympic Games,NGR,https://www.worldathletics.org/athletes/nigeria/chukwuebuka-enekwechi-14463876,19.74,Chukwuebuka ENEKWECHI,12,"(['Shot Put'],)"
