competition,country,link,mark,name,position,sport
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/ryan-crouser-14369211,22.94,Ryan CROUSER,1,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/joe-kovacs-14243308,22.89,Joe KOVACS,2,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/josh-awotunde-14522818,22.29,Josh AWOTUNDE,3,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",NZL,https://www.worldathletics.org/athletes/new-zealand/tom-walsh-14413007,22.08,Tom WALSH,4,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",BRA,https://www.worldathletics.org/athletes/brazil/darlan-romani-14377465,21.92,Darlan ROMANI,5,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",CRO,https://www.worldathletics.org/athletes/croatia/filip-mihaljević-14523988,21.82,Filip MIHALJEVIĆ,6,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",NZL,https://www.worldathletics.org/athletes/new-zealand/jacko-gill-14382701,21.40,Jacko GILL,7,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/adrian-piperi-14713124,20.93,Adrian PIPERI,8,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",ITA,https://www.worldathletics.org/athletes/italy/nick-ponzio-14521979,20.81,Nick PONZIO,9,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",NOR,https://www.worldathletics.org/athletes/norway/marcus-thomsen-14593954,20.66,Marcus THOMSEN,10,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",NGR,https://www.worldathletics.org/athletes/nigeria/chukwuebuka-cornnell-enekwechi-14463876,20.65,Chukwuebuka Cornnell ENEKWECHI,11,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",MEX,https://www.worldathletics.org/athletes/mexico/uziel-muñoz-14593049,20.01,Uziel MUÑOZ,12,"(['Shot Put'],)"
