competition,country,link,mark,name,position,sport
World Athletics Indoor Championships 2022,POR,https://www.worldathletics.org/athletes/portugal/auriol-dongmo-14523980,20.43,Auriol DONGMO,1,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,USA,https://www.worldathletics.org/athletes/united-states/chase-ealey-14533525,20.21,Chase EALEY,2,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,NED,https://www.worldathletics.org/athletes/netherlands/jessica-schilder-14688805,19.48,Jessica SCHILDER,3,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,SWE,https://www.worldathletics.org/athletes/sweden/fanny-roos-14429853,19.22,Fanny ROOS,4,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,USA,https://www.worldathletics.org/athletes/united-states/maggie-ewen-14426023,19.15,Maggie EWEN,5,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,JAM,https://www.worldathletics.org/athletes/jamaica/danniel-thomas-dodd-14468647,19.12,Danniel THOMAS-DODD,6,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,CAN,https://www.worldathletics.org/athletes/canada/sarah-mitton-14607093,19.02,Sarah MITTON,7,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,GBR,https://www.worldathletics.org/athletes/great-britain-ni/sophie-mckinna-14401183,18.62,Sophie MCKINNA,8,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,GER,https://www.worldathletics.org/athletes/germany/sara-gambetta-14372468,18.17,Sara GAMBETTA,9,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,MDA,https://www.worldathletics.org/athletes/moldova/dimitriana-bezede-14474337,18.07,Dimitriana BEZEDE,10,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,GER,https://www.worldathletics.org/athletes/germany/katharina-maisch-14508777,17.83,Katharina MAISCH,11,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,POR,https://www.worldathletics.org/athletes/portugal/jessica-inchude-14631389,17.58,Jessica INCHUDE,12,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,GBR,https://www.worldathletics.org/athletes/great-britain-ni/amelia-strickler-14538898,16.86,Amelia STRICKLER,13,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,BRA,https://www.worldathletics.org/athletes/brazil/livia-avancini-14367343,16.85,Livia AVANCINI,14,"(['Shot Put'],)"
World Athletics Indoor Championships 2022,CHI,https://www.worldathletics.org/athletes/chile/ivana-xennia-gallardo-14414721,16.08,Ivana Xennia GALLARDO,15,"(['Shot Put'],)"
