competition,country,gender,link,mark,name,position,sport
AG Memorial Van Damme - 05–06 SEP 2019,NZL,M,,['22.30'],Tom WALSH,1,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,BRA,M,,['22.15'],Darlan ROMANI,2,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,USA,M,,['22.08'],Ryan CROUSER,3,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,POL,M,,['21.91'],Konrad BUKOWIECKI,4,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,USA,M,,['21.13'],Darrell HILL,5,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,POL,M,,['20.91'],Michał HARATYK,6,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,CZE,M,,['20.86'],Tomáš STANĚK,7,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,USA,M,,['20.60'],Joe KOVACS,8,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,BEL,M,,['17.46'],Matthias QUINTELIER,9,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,BEL,M,,['17.31'],Max VLASSAK,10,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,NED,M,,['16.69'],Remco GOETHEER,11,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,BEL,M,,['16.50'],Jarno WAGEMANS,12,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,BEL,M,,['16.45'],Stijn SPILLIAERT,13,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,BEL,M,,['15.58'],Jonathan GUILLAUME,14,Shot Put
AG Memorial Van Damme - 05–06 SEP 2019,BEL,M,,['14.49'],Filip EECKHOUT,15,Shot Put
