competition,country,gender,link,mark,name,position,sport
IAAF Diamond League - 18 MAY 2019,USA,F,,['19.58'],Chase EALEY,1,Shot Put
IAAF Diamond League - 18 MAY 2019,CHN,F,,['19.44'],Lijiao GONG,2,Shot Put
IAAF Diamond League - 18 MAY 2019,BLR,F,,['18.78'],Aliona DUBITSKAYA,3,Shot Put
IAAF Diamond League - 18 MAY 2019,USA,F,,['18.61'],Jessica RAMSEY,4,Shot Put
IAAF Diamond League - 18 MAY 2019,JAM,F,,['18.54'],Danniel THOMAS-DODD,5,Shot Put
IAAF Diamond League - 18 MAY 2019,USA,F,,['18.48'],Maggie EWEN,6,Shot Put
IAAF Diamond League - 18 MAY 2019,SWE,F,,['18.30'],Fanny ROOS,7,Shot Put
IAAF Diamond League - 18 MAY 2019,POL,F,,['17.86'],Paulina GUBA,8,Shot Put
IAAF Diamond League - 18 MAY 2019,HUN,F,,['17.65'],Anita MÁRTON,9,Shot Put
IAAF Diamond League - 18 MAY 2019,USA,F,,['17.36'],Daniella HILL,10,Shot Put
IAAF Diamond League - 18 MAY 2019,CHN,F,,['16.79'],Ka BIAN,11,Shot Put
