competition,country,gender,link,mark,name,position,sport
Eugene Prefontaine Classic - 25–26 MAY 2018,USA,M,,['22.53'],Ryan CROUSER,1,Shot Put
Eugene Prefontaine Classic - 25–26 MAY 2018,POL,M,,['21.97'],Michał HARATYK,2,Shot Put
Eugene Prefontaine Classic - 25–26 MAY 2018,BRA,M,,['21.95'],Darlan ROMANI,3,Shot Put
Eugene Prefontaine Classic - 25–26 MAY 2018,NZL,M,,['21.84'],Tom WALSH,4,Shot Put
Eugene Prefontaine Classic - 25–26 MAY 2018,USA,M,,['21.19'],Darrell HILL,5,Shot Put
Eugene Prefontaine Classic - 25–26 MAY 2018,USA,M,,['20.64'],Ryan WHITING,6,Shot Put
Eugene Prefontaine Classic - 25–26 MAY 2018,GER,M,,['20.49'],David STORL,7,Shot Put
Eugene Prefontaine Classic - 25–26 MAY 2018,USA,M,,['20.36'],Joe KOVACS,8,Shot Put
Eugene Prefontaine Classic - 25–26 MAY 2018,POL,M,,['20.12'],Konrad BUKOWIECKI,9,Shot Put
Eugene Prefontaine Classic - 25–26 MAY 2018,CRO,M,,['19.91'],Stipe ŽUNIĆ,10,Shot Put
