competition,country,gender,link,mark,name,position,sport
The XXX Olympic Games,POL,M,https://www.worldathletics.org/athletes/poland/tomasz-majewski-14217130,21.89,Tomasz MAJEWSKI,1,Shot Put
The XXX Olympic Games,GER,M,https://www.worldathletics.org/athletes/germany/david-storl-14194393,21.86,David STORL,2,Shot Put
The XXX Olympic Games,USA,M,https://www.worldathletics.org/athletes/united-states/reese-hoffa-14240894,21.23,Reese HOFFA,3,Shot Put
The XXX Olympic Games,USA,M,https://www.worldathletics.org/athletes/united-states/christian-cantwell-14234176,21.19,Christian CANTWELL,4,Shot Put
The XXX Olympic Games,CAN,M,https://www.worldathletics.org/athletes/canada/dylan-armstrong-14174674,20.93,Dylan ARMSTRONG,5,Shot Put
The XXX Olympic Games,ARG,M,https://www.worldathletics.org/athletes/argentina/germán-lauro-14180399,20.84,Germán LAURO,6,Shot Put
The XXX Olympic Games,SRB,M,https://www.worldathletics.org/athletes/serbia/asmir-kolašinac-14225338,20.71,Asmir KOLAŠINAC,7,Shot Put
The XXX Olympic Games,BLR,M,https://www.worldathletics.org/athletes/belarus/pavel-lyzhyn-14176747,20.69,Pavel LYZHYN,8,Shot Put
The XXX Olympic Games,USA,M,https://www.worldathletics.org/athletes/united-states/ryan-whiting-14254801,20.64,Ryan WHITING,9,Shot Put
The XXX Olympic Games,JAM,M,https://www.worldathletics.org/athletes/jamaica/dorian-scott-14202215,20.61,Dorian SCOTT,10,Shot Put
The XXX Olympic Games,RUS,M,https://www.worldathletics.org/athletes/russia/maksim-sidorov-14224002,20.41,Maksim SIDOROV,11,Shot Put
The XXX Olympic Games,TPE,M,https://www.worldathletics.org/athletes/chinese-taipei/ming-huang-chang-14228685,19.99,Ming-Huang CHANG,12,Shot Put
