competition,country,gender,link,mark,name,position,sport
The XXXI Olympic Games,USA,,https://www.worldathletics.org/athletes/united-states/michelle-carter-14307333,20.63,Michelle CARTER,1,Shot Put
The XXXI Olympic Games,NZL,,https://www.worldathletics.org/athletes/new-zealand/valerie-adams-14292861,20.42,Valerie ADAMS,2,Shot Put
The XXXI Olympic Games,HUN,,https://www.worldathletics.org/athletes/hungary/anita-márton-14282022,19.87,Anita MÁRTON,3,Shot Put
The XXXI Olympic Games,CHN,,https://www.worldathletics.org/athletes/pr-of-china/lijiao-gong-14266426,19.39,Lijiao GONG,4,Shot Put
The XXXI Olympic Games,USA,,https://www.worldathletics.org/athletes/united-states/raven-saunders-14615321,19.35,Raven SAUNDERS,5,Shot Put
The XXXI Olympic Games,GER,,https://www.worldathletics.org/athletes/germany/christina-schwanitz-14279753,19.03,Christina SCHWANITZ,6,Shot Put
The XXXI Olympic Games,TTO,,https://www.worldathletics.org/athletes/trinidad-and-tobago/cleopatra-borel-14302978,18.37,Cleopatra BOREL,7,Shot Put
The XXXI Olympic Games,BLR,,https://www.worldathletics.org/athletes/belarus/aliona-dubitskaya-14269885,18.23,Aliona DUBITSKAYA,8,Shot Put
The XXXI Olympic Games,BRA,,https://www.worldathletics.org/athletes/brazil/geisa-arcanjo-14269427,18.16,Geisa ARCANJO,9,Shot Put
The XXXI Olympic Games,CHI,,https://www.worldathletics.org/athletes/chile/natalia-ducó-14266859,18.07,Natalia DUCÓ,10,Shot Put
The XXXI Olympic Games,BLR,,https://www.worldathletics.org/athletes/belarus/alena-abramchuk-14269825,17.37,Alena ABRAMCHUK,11,Shot Put
The XXXI Olympic Games,CMR,,https://www.worldathletics.org/athletes/cameroon/auriole-dongmo-14523980,16.99,Auriol DONGMO,12,Shot Put
