competition,country,gender,link,mark,name,position,sport
Paris Meeting AREVA - 04 JUL 2015,GER,F,,['20.31'],Christina SCHWANITZ,1,Shot Put
Paris Meeting AREVA - 04 JUL 2015,CHN,F,,['19.75'],Lijiao GONG,2,Shot Put
Paris Meeting AREVA - 04 JUL 2015,USA,F,,['19.37'],Michelle CARTER,3,Shot Put
Paris Meeting AREVA - 04 JUL 2015,TTO,F,,['19.07'],Cleopatra BOREL,4,Shot Put
Paris Meeting AREVA - 04 JUL 2015,NZL,F,,['18.79'],Valerie ADAMS,5,Shot Put
Paris Meeting AREVA - 04 JUL 2015,USA,F,,['18.79'],Jeneva STEVENS,6,Shot Put
Paris Meeting AREVA - 04 JUL 2015,HUN,F,,['18.42'],Anita MÁRTON,7,Shot Put
Paris Meeting AREVA - 04 JUL 2015,USA,F,,['17.81'],Brittany SMITH,8,Shot Put
Paris Meeting AREVA - 04 JUL 2015,BLR,F,,['17.70'],Natalya MIKHNEVICH,9,Shot Put
Paris Meeting AREVA - 04 JUL 2015,USA,F,,['17.22'],Tia BROOKS-WANNEMACHER,10,Shot Put
Paris Meeting AREVA - 04 JUL 2015,FRA,F,,['16.70'],Jessica CÉRIVAL,11,Shot Put
Paris Meeting AREVA - 04 JUL 2015,RUS,F,,['DQ'],Irina TARASOVA,12,Shot Put
