competition,country,gender,link,mark,name,position,sport
Paris Meeting - 27 AUG 2016,NZL,M,,['22.00'],Tom WALSH,1,Shot Put
Paris Meeting - 27 AUG 2016,USA,M,,['21.99'],Ryan CROUSER,2,Shot Put
Paris Meeting - 27 AUG 2016,USA,M,,['20.78'],Kurt ROBERTS,3,Shot Put
Paris Meeting - 27 AUG 2016,USA,M,,['20.65'],Ryan WHITING,4,Shot Put
Paris Meeting - 27 AUG 2016,POL,M,,['20.36'],Konrad BUKOWIECKI,5,Shot Put
Paris Meeting - 27 AUG 2016,USA,M,,['20.30'],Darrell HILL,6,Shot Put
Paris Meeting - 27 AUG 2016,CGO,M,,['20.27'],Franck ELEMBA,7,Shot Put
Paris Meeting - 27 AUG 2016,USA,M,,['20.18'],Joe KOVACS,8,Shot Put
Paris Meeting - 27 AUG 2016,POL,M,,['19.60'],Michał HARATYK,9,Shot Put
Paris Meeting - 27 AUG 2016,BRA,M,,['19.47'],Darlan ROMANI,10,Shot Put
Paris Meeting - 27 AUG 2016,FRA,M,,['17.70'],Frédéric DAGEE,11,Shot Put
