competition,country,gender,link,mark,name,position,sport
Shanghai Golden Grand Prix - 18 MAY 2014,USA,M,,['21.73'],Christian CANTWELL,1,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,USA,M,,['21.52'],Joe KOVACS,2,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,USA,M,,['21.31'],Ryan WHITING,3,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,GER,M,,['21.09'],David STORL,4,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,POL,M,,['20.93'],Tomasz MAJEWSKI,5,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,USA,M,,['20.60'],Kurt ROBERTS,6,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,USA,M,,['20.11'],Cory MARTIN,7,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,BUL,M,,['20.06'],Georgi IVANOV,8,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,JAM,M,,['19.78'],O'Dayne RICHARDS,9,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,CHN,M,,['19.18'],Guangfu WANG,10,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,TPE,M,,['19.18'],Minghuang CHANG,11,Shot Put
Shanghai Golden Grand Prix - 18 MAY 2014,CHN,M,,['18.33'],Zizhong TIAN,12,Shot Put
