competition,country,gender,link,mark,name,position,sport
Shanghai IAAF Diamond League - 13 MAY 2017,CHN,F,,['19.46'],Lijiao GONG,1,Shot Put
Shanghai IAAF Diamond League - 13 MAY 2017,USA,F,,['18.98'],Daniella HILL,2,Shot Put
Shanghai IAAF Diamond League - 13 MAY 2017,HUN,F,,['18.69'],Anita MÁRTON,3,Shot Put
Shanghai IAAF Diamond League - 13 MAY 2017,CHN,F,,['18.18'],Ka BIAN,4,Shot Put
Shanghai IAAF Diamond League - 13 MAY 2017,USA,F,,['17.95'],Brittany SMITH,5,Shot Put
Shanghai IAAF Diamond League - 13 MAY 2017,NED,F,,['17.83'],Melissa BOEKELMAN,6,Shot Put
Shanghai IAAF Diamond League - 13 MAY 2017,BLR,F,,['17.70'],Yuliya LEANTSIUK,7,Shot Put
Shanghai IAAF Diamond League - 13 MAY 2017,TTO,F,,['17.64'],Cleopatra BOREL,8,Shot Put
Shanghai IAAF Diamond League - 13 MAY 2017,USA,F,,['17.47'],Felisha JOHNSON,9,Shot Put
Shanghai IAAF Diamond League - 13 MAY 2017,CHN,F,,['17.40'],Yang GAO,10,Shot Put
