competition,country,gender,link,mark,name,position,sport
14th IAAF World Championships,GER,M,https://www.worldathletics.org/athletes/germany/david-storl-14194393,21.73,David STORL,1,Shot Put
14th IAAF World Championships,USA,M,https://www.worldathletics.org/athletes/united-states/ryan-whiting-14254801,21.57,Ryan WHITING,2,Shot Put
14th IAAF World Championships,CAN,M,https://www.worldathletics.org/athletes/canada/dylan-armstrong-14174674,21.34,Dylan ARMSTRONG,3,Shot Put
14th IAAF World Championships,USA,M,https://www.worldathletics.org/athletes/united-states/reese-hoffa-14240894,21.12,Reese HOFFA,4,Shot Put
14th IAAF World Championships,CZE,M,https://www.worldathletics.org/athletes/czech-republic/ladislav-prášil-14940722,20.98,Ladislav PRÁŠIL,5,Shot Put
14th IAAF World Championships,POL,M,https://www.worldathletics.org/athletes/poland/tomasz-majewski-14217130,20.98,Tomasz MAJEWSKI,6,Shot Put
14th IAAF World Championships,ARG,M,https://www.worldathletics.org/athletes/argentina/germán-lauro-14180399,20.40,Germán LAURO,7,Shot Put
14th IAAF World Championships,BUL,M,https://www.worldathletics.org/athletes/bulgaria/georgi-ivanov-14174986,20.39,Georgi IVANOV,8,Shot Put
14th IAAF World Championships,USA,M,https://www.worldathletics.org/athletes/united-states/cory-martin-14244994,20.09,Cory MARTIN,9,Shot Put
14th IAAF World Championships,SRB,M,https://www.worldathletics.org/athletes/serbia/asmir-kolašinac-14225338,19.96,Asmir KOLAŠINAC,10,Shot Put
14th IAAF World Championships,CZE,M,https://www.worldathletics.org/athletes/czech-republic/antonín-žalský-14168042,19.54,Antonín ŽALSKÝ,11,Shot Put
14th IAAF World Championships,CZE,M,https://www.worldathletics.org/athletes/czech-republic/martin-stašek-14168265,19.10,Martin STAŠEK,12,Shot Put
