competition,country,gender,link,mark,name,position,sport
14th IAAF World Championships,NZL,F,https://www.worldathletics.org/athletes/new-zealand/valerie-adams-14292861,20.88,Valerie ADAMS,1,Shot Put
14th IAAF World Championships,GER,F,https://www.worldathletics.org/athletes/germany/christina-schwanitz-14279753,20.41,Christina SCHWANITZ,2,Shot Put
14th IAAF World Championships,CHN,F,https://www.worldathletics.org/athletes/pr-of-china/lijiao-gong-14266426,19.95,Lijiao GONG,3,Shot Put
14th IAAF World Championships,USA,F,https://www.worldathletics.org/athletes/united-states/michelle-carter-14307333,19.94,Michelle CARTER,4,Shot Put
14th IAAF World Championships,CHN,F,https://www.worldathletics.org/athletes/pr-of-china/ling-li-14266009,18.39,Ling LI,5,Shot Put
14th IAAF World Championships,USA,F,https://www.worldathletics.org/athletes/united-states/tia-brooks-wannemacher-14363271,18.09,Tia BROOKS,6,Shot Put
14th IAAF World Championships,UKR,F,https://www.worldathletics.org/athletes/ukraine/halyna-obleshchuk-14387216,18.08,Galyna TURCHYN,7,Shot Put
14th IAAF World Championships,CHN,F,https://www.worldathletics.org/athletes/pr-of-china/xiangrong-liu-14265747,18.04,Xiangrong LIU,8,Shot Put
14th IAAF World Championships,CHI,F,https://www.worldathletics.org/athletes/chile/natalia-ducó-14266859,18.02,Natalia DUCÓ,9,Shot Put
14th IAAF World Championships,BLR,F,https://www.worldathletics.org/athletes/belarus/alena-abramchuk-14269825,17.70,Alena ABRAMCHUK,10,Shot Put
14th IAAF World Championships,RUS,F,https://www.worldathletics.org/athletes/russia/yevgeniya-kolodko-14298170,DQ,Evgeniia KOLODKO,"(None,)",Shot Put
14th IAAF World Championships,RUS,F,https://www.worldathletics.org/athletes/russia/irina-tarasova-14299526,DQ,Irina TARASOVA,"(None,)",Shot Put
