competition,country,gender,link,mark,name,position,sport
Birmingham IAAF World Indoor Championships,NZL,M,https://www.worldathletics.org/athletes/new-zealand/tomas-walsh-14413007,22.31,Tomas WALSH,1,Shot Put
Birmingham IAAF World Indoor Championships,GER,M,https://www.worldathletics.org/athletes/germany/david-storl-14194393,21.44,David STORL,2,Shot Put
Birmingham IAAF World Indoor Championships,CZE,M,https://www.worldathletics.org/athletes/czech-republic/tomáš-staněk-14379859,21.44,Tomáš STANĚK,3,Shot Put
Birmingham IAAF World Indoor Championships,BRA,M,https://www.worldathletics.org/athletes/brazil/darlan-romani-14377465,21.37,Darlan ROMANI,4,Shot Put
Birmingham IAAF World Indoor Championships,BIH,M,https://www.worldathletics.org/athletes/bosniaherzegovina/mesud-pezer-14409892,21.15,Mesud PEZER,5,Shot Put
Birmingham IAAF World Indoor Championships,USA,M,https://www.worldathletics.org/athletes/united-states/darrell-hill-14463877,21.06,Darrell HILL,6,Shot Put
Birmingham IAAF World Indoor Championships,USA,M,https://www.worldathletics.org/athletes/united-states/ryan-whiting-14254801,21.03,Ryan WHITING,7,Shot Put
Birmingham IAAF World Indoor Championships,POL,M,https://www.worldathletics.org/athletes/poland/konrad-bukowiecki-14500229,20.99,Konrad BUKOWIECKI,8,Shot Put
Birmingham IAAF World Indoor Championships,CAN,M,https://www.worldathletics.org/athletes/canada/tim-nedow-14364723,20.82,Tim NEDOW,9,Shot Put
Birmingham IAAF World Indoor Championships,POL,M,https://www.worldathletics.org/athletes/poland/michał-haratyk-14471190,20.69,Michał HARATYK,10,Shot Put
Birmingham IAAF World Indoor Championships,JAM,M,https://www.worldathletics.org/athletes/jamaica/o'dayne-richards-14329696,19.93,O'Dayne RICHARDS,11,Shot Put
Birmingham IAAF World Indoor Championships,POR,M,https://www.worldathletics.org/athletes/portugal/tsanko-arnaudov-14428121,19.93,Tsanko ARNAUDOV,12,Shot Put
Birmingham IAAF World Indoor Championships,ANA,M,https://www.worldathletics.org/athletes/authorised-neutral-athlete/maksim-afonin-14376014,19.84,Maksim AFONIN,13,Shot Put
Birmingham IAAF World Indoor Championships,NGR,M,https://www.worldathletics.org/athletes/nigeria/chukwuebuka-enekwechi-14463876,19.78,Chukwuebuka ENEKWECHI,14,Shot Put
Birmingham IAAF World Indoor Championships,SRB,M,https://www.worldathletics.org/athletes/serbia/asmir-kolašinac-14225338,19.34,Asmir KOLAŠINAC,15,Shot Put
Birmingham IAAF World Indoor Championships,AUS,M,https://www.worldathletics.org/athletes/australia/damien-birkinhead-14375177,19.11,Damien BIRKINHEAD,16,Shot Put
