competition,country,link,mark,name,position,sport
The XXXII Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/lijiao-gong-14266426,20.58,Lijiao GONG,1,"(['Shot Put'],)"
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/raven-saunders-14615321,19.79,Raven SAUNDERS,2,"(['Shot Put'],)"
The XXXII Olympic Games,NZL,https://www.worldathletics.org/athletes/new-zealand/valerie-adams-14292861,19.62,Valerie ADAMS,3,"(['Shot Put'],)"
The XXXII Olympic Games,POR,https://www.worldathletics.org/athletes/portugal/auriol-dongmo-14523980,19.57,Auriol DONGMO,4,"(['Shot Put'],)"
The XXXII Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/jiayuan-song-14668306,19.14,Jiayuan SONG,5,"(['Shot Put'],)"
The XXXII Olympic Games,NZL,https://www.worldathletics.org/athletes/new-zealand/maddison-lee-wesche-14610254,18.98,Maddison-Lee WESCHE,6,"(['Shot Put'],)"
The XXXII Olympic Games,SWE,https://www.worldathletics.org/athletes/sweden/fanny-roos-14429853,18.91,Fanny ROOS,7,"(['Shot Put'],)"
The XXXII Olympic Games,GER,https://www.worldathletics.org/athletes/germany/sara-gambetta-14372468,18.88,Sara GAMBETTA,8,"(['Shot Put'],)"
The XXXII Olympic Games,BLR,https://www.worldathletics.org/athletes/belarus/aliona-dubitskaya-14269885,18.73,Aliona DUBITSKAYA,9,"(['Shot Put'],)"
The XXXII Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/yang-gao-14514468,18.67,Yang GAO,10,"(['Shot Put'],)"
The XXXII Olympic Games,TTO,https://www.worldathletics.org/athletes/trinidad-and-tobago/portious-warren-14520411,18.32,Portious WARREN,11,"(['Shot Put'],)"
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/jessica-ramsey-14439750,NM,Jessica RAMSEY,"(None,)","(['Shot Put'],)"
