competition,country,link,mark,name,position,sport
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/chase-ealey-14533525,20.49,Chase EALEY,1,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",CHN,https://www.worldathletics.org/athletes/pr-of-china/lijiao-gong-14266426,20.39,Lijiao GONG,2,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",NED,https://www.worldathletics.org/athletes/netherlands/jessica-schilder-14688805,19.77,Jessica SCHILDER,3,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",CAN,https://www.worldathletics.org/athletes/canada/sarah-mitton-14607093,19.77,Sarah MITTON,4,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",POR,https://www.worldathletics.org/athletes/portugal/auriol-dongmo-14523980,19.62,Auriol DONGMO,5,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",CHN,https://www.worldathletics.org/athletes/pr-of-china/jiayuan-song-14668306,19.57,Jiayuan SONG,6,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",NZL,https://www.worldathletics.org/athletes/new-zealand/maddison-lee-wesche-14610254,19.50,Maddison-Lee WESCHE,7,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/jessica-woodard-14437128,18.67,Jessica WOODARD,8,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",USA,https://www.worldathletics.org/athletes/united-states/maggie-ewen-14426023,18.64,Maggie EWEN,9,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",JAM,https://www.worldathletics.org/athletes/jamaica/danniel-thomas-dodd-14468647,18.29,Danniel THOMAS-DODD,10,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",SWE,https://www.worldathletics.org/athletes/sweden/fanny-roos-14429853,18.27,Fanny ROOS,11,"(['Shot Put'],)"
"World Athletics Championships, Oregon 2022",SWE,https://www.worldathletics.org/athletes/sweden/axelina-johansson-14680446,17.60,Axelina JOHANSSON,12,"(['Shot Put'],)"
