competition,country,link,mark,name,position,sport
Birmingham IAAF World Indoor Championships,HUN,https://www.worldathletics.org/athletes/hungary/anita-márton-14282022,19.62,Anita MÁRTON,1,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,JAM,https://www.worldathletics.org/athletes/jamaica/danniel-thomas-dodd-14468647,19.22,Danniel THOMAS-DODD,2,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,CHN,https://www.worldathletics.org/athletes/pr-of-china/lijiao-gong-14266426,19.08,Lijiao GONG,3,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,CHN,https://www.worldathletics.org/athletes/pr-of-china/yang-gao-14514468,18.77,Yang GAO,4,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,POL,https://www.worldathletics.org/athletes/poland/paulina-guba-14941418,18.54,Paulina GUBA,5,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,BLR,https://www.worldathletics.org/athletes/belarus/aliona-dubitskaya-14269885,18.21,Aliona DUBITSKAYA,6,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,CUB,https://www.worldathletics.org/athletes/cuba/yaniuvis-lópez-14263505,18.19,Yaniuvis LÓPEZ,7,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,USA,https://www.worldathletics.org/athletes/united-states/jeneva-stevens-14361804,18.18,Jeneva STEVENS,8,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,TTO,https://www.worldathletics.org/athletes/trinidad-and-tobago/cleopatra-borel-14302978,17.80,Cleopatra BOREL,9,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,CAN,https://www.worldathletics.org/athletes/canada/brittany-crew-14430758,17.61,Brittany CREW,10,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,BLR,https://www.worldathletics.org/athletes/belarus/yuliya-leantsiuk-14269774,17.44,Yuliya LEANTSIUK,11,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,USA,https://www.worldathletics.org/athletes/united-states/daniella-hill-14330053,17.26,Daniella HILL,12,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,SWE,https://www.worldathletics.org/athletes/sweden/fanny-roos-14429853,17.23,Fanny ROOS,13,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,MDA,https://www.worldathletics.org/athletes/moldova/dimitriana-surdu-14474337,17.22,Dimitriana SURDU,14,"(['Shot Put'],)"
Birmingham IAAF World Indoor Championships,BUL,https://www.worldathletics.org/athletes/bulgaria/radoslava-mavrodieva-14268633,16.33,Radoslava MAVRODIEVA,15,"(['Shot Put'],)"
